drives,totalsessions,ndaysafteronboarding,totalnavigationsfav1,totalnavigationsfav2,drivenkmdrives,durationminutesdrives,activitydays,kmperdrivingday,professionaldriver,android,label
32,102.9483312,3323,154,101,3465.589796,1951.540263,14,266.58383046153847,0,0,0
82,91.52727513,2254,0,0,1772.191366,581.6487794,3,590.7304553333333,0,0,1
193,268.643805,1258,88,9,4478.18088,3120.903895,27,186.59087,1,1,0
113,242.1291202,508,0,0,4136.026058,1841.184376,12,376.0023689090909,0,0,0
29,490.3315821,2551,120,73,6323.941583,3381.924229,15,421.5961055333333,0,1,0
26,222.12931,208,55,10,2459.816477,874.4276172,11,351.4023538571428,0,0,0
43,169.9292346,2389,0,24,5406.819727,3727.775268,17,318.04821923529414,0,0,0
40,421.6059953,3244,30,0,2810.309139,1608.434574,12,562.0618278,0,0,0
72,187.9245034,2507,43,28,854.3864466,619.1899061,25,38.83574757272727,0,0,0
41,94.97103389,3202,180,0,1642.368888,1064.403306,23,78.20804228571428,0,0,0
32,142.4369117,81,172,0,3296.985485,678.2867502,25,206.0615928125,0,1,0
30,66.8912126,1324,221,0,3991.841876,811.7367455,2,0.0,0,0,0
6,58.86116655,350,0,13,1838.430447,589.7720026,25,91.92152235,0,0,0
188,280.4192673,2306,0,77,3353.748203,839.8553132,13,479.1068861428572,0,1,0
13,62.99429299,843,35,7,1945.668314,1482.244178,24,88.43946881818182,0,1,0
78,423.9110606,1613,127,0,5035.613545,3271.766085,13,503.5613545,0,0,0
154,309.6783197,400,83,7,1789.478603,1418.241292,23,81.33993650000001,1,1,0
14,88.08790771,2992,123,53,2225.986252,1173.622402,22,148.39908346666667,0,1,0
43,171.9048024,1307,50,9,2683.155744,877.2887424,29,116.65894539130436,0,0,0
114,166.2799211,3095,111,15,4933.769533,2255.994717,11,822.2949221666667,0,0,0
113,185.1143893,2137,137,28,3294.554435,1909.513018,9,366.0616038888889,0,0,0
175,309.0933633,1666,0,49,1433.805883,890.4583449,26,79.65588238888888,0,1,0
9,63.37880655,712,81,26,1624.454611,59.98446528,22,108.29697406666668,0,1,0
63,94.58117968,2774,59,0,3201.918054,1210.004022,30,160.0959027,0,0,0
99,152.5567286,2298,17,0,3082.671245,1191.406698,6,0.0,0,1,1
101,162.4519603,603,74,0,1392.044767,927.1696159,30,55.681790680000006,1,0,1
16,53.4550273,2463,411,89,3766.481688,1442.969873,21,179.35627085714285,0,1,0
21,150.2961319,3217,163,17,1714.793605,1137.647657,13,171.4793605,0,1,0
11,125.4712179,961,256,31,1579.994416,1172.120431,30,63.19977664,0,0,0
11,60.39582231,1265,160,66,6508.284915,2393.696833,18,406.7678071875,0,0,0
127,483.2623817,1379,90,99,6359.668308,3871.44325,8,794.9585385,0,0,1
51,164.2653247,2060,0,0,2793.932988,2196.625007,24,126.996954,0,0,0
147,343.9452249,3498,34,0,2847.316114,1463.121713,16,316.3684571111111,0,1,0
34,185.6691488,189,71,0,3989.118427,2421.203373,30,147.74512692592592,0,0,0
47,57.56448616,3110,11,24,1358.495097,523.7240476,23,75.47194983333333,0,1,0
13,148.67747,1026,0,0,9677.771658,2910.908676,28,483.8885829,0,0,0
122,247.3249005,1070,187,0,6393.481743,4553.238421,6,1065.5802905,0,0,1
40,177.9586432,3477,16,0,3304.917873,876.5817852,11,300.4470793636364,0,0,0
191,406.1782678,745,0,11,3527.611715,936.001503,28,195.9784286111111,0,0,1
64,94.32008442,1364,374,75,541.5097616,242.0482374,29,23.54390267826087,0,1,0
17,64.41973416,149,33,0,8844.035207,4499.867035,20,520.2373651176471,0,0,0
54,230.4582451,1256,41,64,5045.398456,2109.483123,12,630.674807,0,0,0
13,186.9794651,3306,184,32,905.6810673,299.0163994,10,90.56810673,0,1,0
5,138.8705748,321,0,0,8809.226415,2667.907883,3,0.0,0,1,1
46,271.9233666,777,95,33,2804.191515,1976.310414,6,560.838303,0,1,0
67,96.30479738,1532,125,0,2948.886919,993.8732641,6,491.4811531666667,0,1,0
175,221.6576984,2047,102,51,3166.429712,960.7904459,24,137.67085704347826,1,1,0
30,109.9488004,1364,0,0,3559.971515,2406.462487,14,296.6642929166667,0,0,0
87,191.936044,110,0,20,6768.997378,1506.123087,28,260.346053,0,0,0
147,231.6026323,3414,133,53,5110.800712,2591.209147,23,365.05719371428575,0,0,0
23,66.27163423,780,61,0,2214.364804,998.3809116,27,100.65294563636364,0,0,0
53,77.9959639,1208,175,0,1678.647111,1292.628032,21,119.90336507142857,0,0,0
51,181.5508049,707,1,0,2687.263718,274.4209506,12,537.4527436000001,0,1,0
161,215.9992155,2806,86,0,5592.664287,3732.715173,21,372.8442858,0,0,0
108,304.7897104,805,38,0,9674.81691,992.5048321,28,537.4898283333333,0,0,0
106,199.4857666,2208,0,0,1282.633982,319.3697841,11,116.60308927272727,0,0,0
104,164.3212072,853,133,0,2871.615782,1542.044342,10,287.1615782,0,0,0
12,227.863193,1757,34,0,4979.183869,1724.017094,28,262.0623088947369,0,0,0
149,311.2870759,3287,165,0,3810.497042,772.7007434,27,173.204411,1,0,0
41,436.8746889,745,93,0,3685.383695,2801.633855,27,141.74552673076923,0,0,0
59,162.9841356,332,1,0,2375.993763,921.2046724,29,118.79968815,0,0,0
17,146.017828,1905,106,0,1675.366755,753.1189145,25,69.806948125,0,1,0
37,63.34400869,2057,0,14,1087.050057,781.0449242,14,77.64643264285714,0,0,0
6,176.803129,2951,73,56,7589.578721,4500.599272,13,689.961701909091,0,0,0
12,111.2465431,1118,61,0,2368.45335,1260.738374,7,789.4844499999999,0,0,1
73,103.89582,3387,266,19,6995.447995,2721.061538,11,777.2719994444445,0,1,0
13,178.3434574,2937,108,0,1242.125798,261.7615756,11,155.26572475,0,0,1
110,136.9216388,605,364,0,1342.593311,333.6268656,31,63.93301480952381,1,0,0
192,375.7182036,2616,13,0,6343.510823,4878.599543,7,906.2158318571428,0,0,0
13,209.924477,171,57,0,3006.377135,1539.70849,4,751.59428375,0,0,1
9,94.15769837,1638,37,0,2280.396864,1175.622699,8,760.1322879999999,0,1,0
45,78.08356425,3178,14,19,3520.871967,2367.054714,3,1173.623989,0,0,0
42,67.71359618,1828,0,24,7160.138608,4289.050141,12,596.6782173333334,0,1,1
66,103.92497,1413,0,0,1755.794535,1311.463056,17,135.0611180769231,0,0,0
8,70.68795123,2266,43,31,889.0358983,256.717097,5,177.80717966,0,0,0
16,50.39101573,1987,157,0,1139.850735,374.755023,18,87.68082576923076,0,0,0
29,89.7006354,1998,293,86,8353.314432,4877.501795,17,556.8876287999999,0,0,0
39,109.4921618,1507,0,0,3331.523048,2717.400862,11,475.931864,0,1,1
25,26.31739936,2036,0,0,7236.941229,3064.028566,26,301.539217875,0,0,0
111,221.4540961,872,97,77,2947.870739,317.2041291,18,210.56219564285715,0,0,0
198,276.9777577,2118,185,0,1234.394696,721.6809633,22,64.96814189473685,0,0,0
55,262.5392446,3384,146,0,2854.907544,1019.896054,29,129.76852472727273,0,0,0
186,239.0754338,2012,47,0,2903.102397,794.2154583,21,145.15511985,1,0,1
21,153.8244071,462,65,31,7527.039567,4070.402474,10,836.3377296666666,0,1,0
55,89.89817396,558,0,44,4157.857045,3232.403234,13,346.4880870833333,0,0,0
181,249.415761,2585,420,94,2649.779838,1705.587495,26,165.611239875,0,0,0
80,138.8966777,1502,188,9,2352.808479,1356.918348,21,180.9852676153846,0,0,0
17,108.3085782,489,84,0,6016.787107,3032.050167,15,546.9806460909091,0,0,0
36,77.74150106,520,5,29,4603.909263,1490.444254,27,242.31101384210524,0,1,0
58,137.1512793,3264,45,0,1305.946778,996.394443,21,72.55259877777777,0,1,0
27,199.1817354,2891,171,0,3255.874666,1919.401874,26,155.04165076190478,0,0,0
10,34.86172503,1179,0,99,1023.566551,337.7888487,31,35.29539831034483,0,0,0
27,100.6259772,311,198,39,4939.367292,3849.562763,11,493.9367292,0,1,0
17,172.2561926,901,376,45,1709.999766,703.4949047,24,77.7272620909091,0,0,0
61,158.7614474,1990,48,55,3169.686605,1325.913355,10,316.9686605,0,0,0
45,298.4321171,2962,0,13,6933.874574,2058.162246,7,990.5535105714288,0,1,0
22,186.5927505,2125,411,23,1517.931358,469.7574809,22,94.870709875,0,1,0
27,92.25161465,2761,174,0,2218.516115,1056.953313,16,277.314514375,0,0,0
61,114.7379542,1065,19,0,5795.613873,4479.103775,22,340.9184631176471,0,1,0
142,252.6878957,1823,0,28,4468.734705,2400.274437,4,1117.18367625,0,0,1
36,356.9046735,1064,7,33,7447.127529,2503.810441,17,438.0663252352941,0,0,0
2,68.43454952,3150,0,60,3837.59098,2842.697652,1,0.0,0,0,1
42,116.2018066,2747,231,0,6283.729699,3332.246206,27,261.8220707916667,0,0,0
44,92.37585542,672,82,0,7185.197626,3885.194154,8,898.14970325,0,0,0
2,113.1919854,1399,238,94,1731.391158,1064.197865,24,96.18839766666666,0,1,0
10,71.44822472,2395,39,91,5385.271175,3025.260911,28,199.45448796296296,0,0,0
96,263.9841144,230,150,7,950.9577953,353.2173999,6,158.49296588333334,0,0,1
159,248.5608538,2959,127,0,5285.296516,1383.3253,29,264.26482580000004,1,1,0
162,420.149277,1787,331,17,2782.363662,883.795458,5,556.4727324,0,0,0
13,27.58100881,2523,245,21,1406.660825,757.3981893,3,0.0,0,1,1
149,221.8495146,1848,266,51,1624.752998,1034.974113,5,324.9505996,0,1,1
5,157.7901742,596,225,0,4290.131177,1616.236589,5,0.0,0,0,0
116,298.7370296,1158,115,33,1089.856665,206.6034532,22,49.53893931818182,1,1,1
54,108.3482441,3491,57,0,918.7551918,745.8334329,13,70.6734762923077,0,1,0
168,460.67836,858,58,0,7271.742702,1483.373518,28,316.16272617391303,1,0,0
19,25.61451345,2359,78,43,1017.661538,811.2583295,9,113.0735042222222,0,0,0
57,229.5738286,3236,0,0,3296.5333,1971.852035,17,206.03333125,0,1,0
60,268.3285197,164,12,97,1811.870085,922.1091853,28,69.68731096153846,0,0,1
85,85.52710383,1910,72,86,7006.842375,4708.087354,28,350.34211875,0,1,0
20,80.20881981,76,133,60,5114.768154,1815.323806,25,222.3812240869565,0,0,0
66,218.4561729,187,0,0,3484.722205,1108.417135,3,1161.5740683333331,0,1,0
5,26.87356624,1331,36,15,8281.325372,3066.78267,11,752.847761090909,0,0,1
17,39.64321447,3026,258,53,1609.820763,1238.472182,15,146.34734209090908,0,1,0
81,140.0939743,58,151,79,5847.252244,2656.0579,30,208.83043728571428,0,0,0
11,65.31764666,2227,116,25,4746.874044,3456.646203,4,1186.718511,0,0,1
14,192.4485012,1013,66,28,3883.098428,1991.582992,2,0.0,0,1,1
175,351.947218,422,119,17,2090.096785,779.048037,5,418.019357,0,1,0
23,66.31426558,3154,167,0,1510.320551,1234.821636,17,88.84238535294118,0,1,0
51,103.6737581,2148,78,80,4964.022224,875.9385046,8,992.8044448,0,0,0
16,406.0111908,2388,417,0,4111.561781,3296.698673,28,164.46247124,0,0,0
29,199.4914446,1406,102,0,9309.430515,3684.765813,19,664.9593225,0,1,0
31,47.36553559,2742,0,0,1636.73927,458.2839758,24,71.16257695652175,0,0,0
9,12.7841033,2027,88,0,1296.894808,899.3904551,23,58.949764,0,0,0
92,187.3888153,1695,116,15,4477.163148,2212.245305,23,223.8581574,0,0,0
89,113.8593459,2212,202,1,5137.149641,2385.406011,11,570.7944045555555,0,1,1
51,229.5725919,107,0,0,1896.976879,1210.32549,19,99.84088836842106,0,0,0
119,162.9621574,1951,109,76,5748.899994,2328.054662,17,338.17058788235295,0,0,0
12,15.7444257,346,0,0,1250.275173,786.0290296,2,625.1375865,0,0,1
31,146.0450616,1164,298,78,1906.574774,216.5227425,1,0.0,0,1,0
8,338.6745844,327,190,0,1983.909549,1199.106437,14,198.3909549,0,0,0
97,203.6034511,405,16,0,1572.853676,1213.968373,0,0.0,0,0,0
22,113.5729223,1331,102,0,3517.75827,2710.153465,10,390.86203,0,0,0
70,253.1402342,2461,230,0,3654.784978,788.4801164,12,304.56541483333336,0,0,0
41,217.5766162,3140,0,58,4045.520387,1917.852036,21,288.96574192857145,0,0,0
27,182.3413035,1206,35,0,2833.59001,2045.41683,31,101.19964321428571,0,0,0
53,68.3612444,936,359,0,4320.121215,530.3163784,23,187.83135717391303,0,1,0
0,0.2202109438,347,130,0,2520.850896,1539.318152,20,168.0567264,0,0,0
10,26.64670682,2717,20,3,3214.320668,1687.504719,28,146.1054849090909,0,1,0
152,216.3482262,587,220,71,3180.126484,1116.457704,13,244.6251141538461,0,1,0
23,75.15416717,1733,1,0,3872.716608,738.9355017,28,227.8068592941177,0,0,0
68,127.6158451,2153,254,0,9209.65252,4332.160031,28,400.4196747826087,0,0,0
57,161.9736632,256,265,0,1813.716442,1028.167929,4,906.858221,0,0,0
11,161.8940289,1593,254,58,3147.69385,374.301501,16,349.7437611111111,0,0,0
159,206.4091506,1075,111,9,4052.937617,1786.19257,20,253.3086010625,0,0,0
58,164.5906928,1191,227,1,2180.327122,1049.599693,13,242.25856911111111,0,0,0
114,164.2639383,2197,107,46,6399.934576,804.4161621,28,290.90611709090905,1,0,0
51,157.9609687,882,252,97,1346.611769,940.6088803,11,122.41925172727274,0,0,0
21,47.56665452,831,27,0,4486.699925,2185.401852,29,203.94090568181807,0,1,0
121,156.793433,3127,132,0,2224.844025,1237.309093,27,88.99376099999999,1,1,0
5,366.6010412,1807,0,0,595.251527,495.7872984,19,35.01479570588236,0,0,0
45,49.81401115,195,94,30,6839.515143,2139.663561,16,488.5367959285714,0,0,0
33,303.775344,2470,56,102,4636.135708,3524.151658,7,662.3051011428571,0,0,0
21,54.48894688,1202,181,0,6670.854842,3775.618913,15,444.7236561333333,0,0,0
52,304.8288523,2593,31,0,2842.46897,1413.349537,10,710.6172425,0,0,1
35,196.4082997,2942,0,21,6111.958412,257.8747405,3,0.0,0,1,1
23,348.2607682,3401,0,12,4539.42554,1045.51846,26,181.5770216,0,0,0
2,24.60849417,750,0,0,3147.559448,1256.956743,20,196.7224655,0,0,0
35,146.1155751,2568,240,19,2978.873494,1766.913377,0,0.0,0,0,1
105,353.4689061,789,0,43,1037.230116,321.2627719,15,86.43584299999999,0,0,1
149,206.5263829,2289,113,0,2925.923138,1217.668435,13,365.74039225,0,0,0
103,178.7028005,1731,115,38,2541.14917,1764.07386,10,363.02131,0,0,0
47,230.7168752,1889,0,25,2733.89665,810.8231637,26,113.91236041666669,0,1,0
48,72.94172476,2840,292,27,3429.550823,2674.620167,28,149.11090534782608,0,0,0
41,149.9528673,1698,163,0,2795.726262,982.3086622,16,199.694733,0,0,0
120,400.1917217,2942,30,25,3583.069363,2154.84335,20,298.58911358333336,0,1,0
63,234.144818,1143,17,17,3804.986461,1536.054818,10,422.7762734444444,0,0,1
93,399.5536536,2010,4,28,791.9948649,526.9656559,23,56.57106177857143,0,0,0
89,396.2205693,94,16,0,1614.787442,1097.190687,14,115.34196014285716,0,0,0
91,179.7870992,3229,64,49,5349.908121,2001.21162,27,314.70047770588235,0,0,0
6,27.87768878,2859,0,0,9629.652057,3754.238537,21,687.8322897857142,0,0,0
50,77.92984157,156,11,3,4025.586277,1528.285009,17,309.66048284615385,0,1,0
34,63.36650437,565,171,104,5300.229317,2540.051386,20,353.3486211333333,0,1,1
182,447.7390405,289,16,0,3214.021387,2218.301093,16,292.18376245454544,0,0,0
25,65.68016286,674,0,26,2305.723161,695.9264128,29,104.80559822727272,0,1,0
3,97.95331187,3301,0,83,1553.218366,1186.488876,0,0.0,0,1,0
64,126.022904,533,43,4,4281.770498,2084.113896,27,237.87613877777773,0,0,0
11,109.4095583,159,0,80,3462.947555,2019.272053,26,192.3859752777778,0,0,0
17,36.63320047,3494,88,0,8877.563915,2811.756315,29,355.1025566,0,0,0
20,191.823221,1660,24,38,1631.840001,1063.786673,22,101.9900000625,0,0,0
127,174.8405578,1526,0,0,3298.665738,2559.759488,28,173.61398621052632,0,1,0
10,276.5049701,861,165,23,2696.275018,776.8349776,24,158.6044128235294,0,0,0
17,19.29224475,3490,0,0,969.9967402,656.2016363,24,60.6247962625,0,1,0
26,150.4070537,1368,39,0,3575.579688,2784.629557,2,0.0,0,1,1
19,163.5350442,1863,24,0,2374.259746,936.4956867,0,0.0,0,0,1
11,300.8767586,1197,29,21,6811.243801,2878.603532,15,567.6036500833333,0,0,0
23,205.5704842,2071,0,43,1285.321414,627.7324415,10,128.5321414,0,0,0
56,191.3575111,2088,50,0,2987.194939,702.4044588,19,199.14632926666667,0,0,0
50,67.02624304,2356,59,3,7112.661456,3235.580381,15,646.6055869090909,0,1,0
7,84.35408046,834,138,0,1102.562194,560.0818936,4,0.0,0,1,0
156,195.7272196,2007,0,57,4856.542387,3542.234412,27,242.82711935000003,1,0,0
11,36.06508531,2771,53,7,3983.638127,2292.409904,11,497.954765875,0,0,0
79,114.8227919,2341,0,0,5085.500148,2710.437691,5,1017.1000296,0,0,0
14,49.12319927,1729,0,93,2597.74368,615.9270233,18,185.55312,0,0,0
37,150.5888653,3361,54,83,2713.297574,395.9038471,7,387.6139391428572,0,1,0
36,144.0875218,1324,0,17,2404.859272,1559.26183,25,133.6032928888889,0,0,0
153,168.6929434,2875,0,0,1544.862924,962.2386223,5,386.215731,0,0,1
90,158.5166236,2770,146,21,4295.647653,283.0859616,29,171.82590612,0,1,0
1,7.753611208,1169,121,82,2708.959914,1685.548734,4,677.2399785,0,0,0
17,45.68255487,2012,79,31,2085.274692,537.8816459,25,109.75129957894735,0,0,0
6,326.9143746,2411,72,39,381.5096911,171.1758635,30,15.260387644,0,0,0
120,172.0794952,196,94,11,5708.703462,3784.224575,1,0.0,0,0,1
8,38.90971605,1907,68,2,1236.435566,526.2708361,3,618.217783,0,0,1
41,99.84791162,564,127,0,2447.345064,857.3725603,22,188.25731261538465,0,0,0
59,195.9531122,350,25,23,5908.316208,1592.149767,26,246.179842,0,0,0
6,40.76832062,3356,0,20,2043.603663,726.8495109,11,185.7821511818182,0,0,0
15,282.8985631,1210,0,0,2777.614582,1879.434117,14,252.5104165454545,0,0,0
15,19.02396794,1052,126,4,1779.367777,676.1205088,25,118.62451846666666,0,1,0
15,19.07302795,443,59,0,3353.348574,2185.65607,15,257.9498903076923,0,1,0
60,306.0774646,1672,159,0,2064.53566,435.1812818,21,103.226783,0,1,0
30,43.43324697,1240,0,0,1608.596461,474.6238715,23,84.66297163157896,0,1,0
11,270.520655,482,0,32,4862.810349,1073.306871,20,286.0476675882353,0,0,0
59,268.9573231,2056,315,33,1636.865572,854.8748869,24,90.9369762222222,0,1,0
66,131.6377277,2434,87,0,3091.201414,1192.974392,29,154.5600707,0,1,0
13,81.82504951,153,77,0,5962.433566,2010.243236,11,662.4926184444444,0,0,0
3,262.4782073,283,0,1,2286.052238,770.438306,4,571.5130595,0,0,0
26,168.0004408,2843,152,0,1249.0065,541.5214209,25,65.73718421052631,0,0,0
81,126.9700715,2604,37,103,2513.652964,1575.415308,23,167.57686426666666,0,0,0
24,206.879053,733,428,0,1488.451085,1168.95942,8,186.056385625,0,0,1
131,284.8095299,2912,195,0,1677.493482,787.7548303,15,139.7911235,0,0,1
38,76.31279592,1779,0,0,6193.380284,2873.033805,23,387.08626775,0,1,0
41,282.8529829,2915,209,80,2667.932169,1900.445773,5,889.310723,0,1,0
38,86.09697613,602,263,47,1852.474993,1262.640288,3,617.4916643333333,0,1,1
73,93.63506622,1520,27,0,2043.840613,1453.525428,23,113.54670072222224,0,0,0
95,313.636832,1388,56,9,3051.154178,1611.645402,9,508.5256963333333,0,0,1
13,59.09759233,3479,98,73,2960.510026,1285.941882,17,211.46500185714285,0,1,0
146,182.4538172,1667,414,0,1083.109714,834.3491798,2,0.0,0,0,0
73,286.6311599,2957,265,30,4136.155184,1479.018649,3,0.0,0,0,0
30,378.4441081,3288,308,0,1165.972137,768.1010062,14,89.69016438461539,0,0,0
20,27.82553366,1946,71,1,3335.884135,1179.569892,30,128.30323596153846,0,0,0
17,151.6652716,702,135,6,5333.108715,3340.485507,20,444.42572625,0,0,0
6,183.3135993,749,161,21,2058.202902,994.8348659,14,294.028986,0,0,0
42,483.7707851,359,100,21,3497.01242,1806.44936,9,388.5569355555556,0,0,0
16,160.793362,1313,22,0,869.2379509,461.4121111,30,45.7493658368421,0,0,0
118,241.0076578,2395,74,0,2508.665602,247.3613976,26,96.48713853846154,1,0,0
