ndaysafteronboarding,activitydays,android,label
422,5,1,0
3154,17,1,0
2148,8,0,0
2388,28,0,0
1406,19,1,0
2742,24,0,0
2027,23,0,0
1695,23,0,0
2212,11,1,1
107,19,0,0
1951,17,0,0
346,2,0,1
1164,1,1,0
327,14,0,0
405,0,0,0
1331,10,0,0
2461,12,0,0
3140,21,0,0
1206,31,0,0
936,23,1,0
347,20,0,0
2717,28,1,0
587,13,1,0
1733,28,0,0
2153,28,0,0
256,4,0,0
1593,16,0,0
1075,20,0,0
1191,13,0,0
2197,28,0,0
882,11,0,0
831,29,1,0
3127,27,1,0
1807,19,0,0
195,16,0,0
2470,7,0,0
1202,15,0,0
2593,10,0,1
2942,3,1,1
3401,26,0,0
750,20,0,0
2568,0,0,1
789,15,0,1
2289,13,0,0
1731,10,0,0
1889,26,1,0
2840,28,0,0
1698,16,0,0
2942,20,1,0
1143,10,0,1
2010,23,0,0
94,14,0,0
3229,27,0,0
2859,21,0,0
156,17,1,0
565,20,1,1
289,16,0,0
674,29,1,0
3301,0,1,0
533,27,0,0
159,26,0,0
3494,29,0,0
1660,22,0,0
1526,28,1,0
861,24,0,0
3490,24,1,0
1368,2,1,1
1863,0,0,1
1197,15,0,0
2071,10,0,0
2088,19,0,0
2356,15,1,0
834,4,1,0
2007,27,0,0
2771,11,0,0
2341,5,0,0
1729,18,0,0
3361,7,1,0
1324,25,0,0
2875,5,0,1
2770,29,1,0
1169,4,0,0
2012,25,0,0
2411,30,0,0
196,1,0,1
1907,3,0,1
564,22,0,0
350,26,0,0
3356,11,0,0
1210,14,0,0
1052,25,1,0
443,15,1,0
1672,21,1,0
1240,23,1,0
482,20,0,0
2056,24,1,0
2434,29,1,0
153,11,0,0
283,4,0,0
2843,25,0,0
2604,23,0,0
733,8,0,1
2912,15,0,1
1779,23,1,0
2915,5,1,0
602,3,1,1
1520,23,0,0
1388,9,0,1
3479,17,1,0
1667,2,0,0
2957,3,0,0
3288,14,0,0
1946,30,0,0
702,20,0,0
749,14,0,0
359,9,0,0
1313,30,0,0
2395,26,0,0
2707,14,0,0
2306,19,0,0
579,15,0,0
2672,27,0,1
3268,8,0,1
1818,16,0,0
3214,11,0,0
329,31,1,0
433,2,1,1
486,28,0,0
1425,8,0,0
2723,17,1,0
3134,23,1,0
2389,7,0,0
1909,20,0,0
557,10,1,1
2074,13,0,0
1280,28,0,0
2654,2,0,0
116,6,0,1
2985,24,0,0
317,18,0,0
2897,3,0,0
3216,15,0,0
943,2,0,0
846,17,0,0
558,22,0,0
2002,5,0,0
3215,5,1,0
2392,27,0,0
1836,16,0,0
3012,31,0,0
976,28,0,0
3233,9,0,0
2431,19,1,0
782,30,1,0
451,19,0,1
2718,7,1,0
2279,10,1,1
2800,17,1,0
3214,11,1,0
3257,10,1,0
2509,23,1,0
1648,0,1,1
1500,11,0,0
2187,24,0,0
1452,30,0,0
791,30,0,0
2899,10,0,0
1569,24,0,0
1735,23,0,0
3275,22,0,0
3161,17,0,0
2962,26,0,0
333,6,0,1
645,9,0,1
2487,12,0,0
676,24,0,1
2214,24,0,0
402,17,1,0
3430,11,0,0
272,13,1,0
2088,14,1,1
2572,22,0,0
952,2,0,1
3127,14,0,0
623,22,0,0
2056,30,1,0
1285,25,0,0
1995,13,0,0
2507,29,0,0
1797,16,0,0
1077,22,0,0
3044,10,0,0
1096,21,0,0
2358,15,0,0
1852,20,0,0
2091,7,0,0
2610,21,0,0
2287,7,0,0
2819,27,1,0
2213,8,0,0
1808,12,0,0
2560,13,0,0
2743,8,0,1
1868,21,1,0
1867,14,0,0
2176,4,0,0
3358,24,0,0
2640,25,0,0
3084,27,1,0
2356,21,1,0
2759,29,0,0
1484,23,0,0
629,21,0,0
595,5,0,0
1909,19,1,0
1586,29,1,0
1188,16,1,0
2294,9,0,0
2304,0,0,1
1935,5,0,0
2512,13,1,0
2790,11,0,1
469,21,1,0
1448,14,1,1
1225,8,1,0
2050,28,0,0
786,7,0,0
2121,25,0,0
1908,3,1,1
902,16,1,0
3479,21,1,1
3113,23,0,0
523,23,0,0
2974,9,0,0
2421,27,0,0
431,5,1,0
1896,28,0,0
871,30,1,0
1071,30,0,0
692,27,0,0
3264,5,0,1
1902,28,1,0
2171,7,0,1
1449,26,0,0
274,10,0,1
2320,18,0,0
2261,8,0,0
3252,7,0,1
380,25,1,1
1598,7,0,0
3212,26,1,0
891,25,0,0
2175,24,1,1
25,25,1,0
471,24,1,0
1039,22,0,1
3375,5,1,0
2234,25,1,0
2535,21,1,0
1813,15,0,0
3265,17,0,0
207,17,0,0
1166,8,0,0
3069,17,1,0
1628,11,0,0
1292,0,0,1
2981,11,1,0
1239,25,0,0
2128,27,0,0
106,9,1,0
1575,9,0,0
340,20,1,1
1490,26,0,0
1241,24,0,0
366,1,1,1
1898,7,1,0
1442,20,0,1
2006,15,0,0
1672,27,1,0
1584,25,0,0
1752,6,1,0
1135,31,0,0
2276,9,0,0
3356,29,0,0
381,1,0,0
1975,8,0,1
1147,25,0,0
2465,5,0,0
232,14,1,0
1059,17,1,0
816,18,1,0
430,31,0,1
2990,13,0,0
1728,16,0,1
3133,16,1,0
2439,12,0,0
577,4,0,0
3415,28,0,0
1361,20,0,0
1597,9,0,0
2704,15,0,0
2610,17,0,0
1117,0,0,1
1060,12,0,0
3177,2,0,0
3458,8,1,0
2821,26,0,0
2866,29,1,0
1063,8,0,1
2683,20,1,0
2845,15,0,0
3077,8,0,0
1909,15,0,0
2506,13,1,1
1992,27,1,0
1493,12,0,0
3400,13,0,0
1918,5,1,1
37,10,0,0
1398,5,0,0
2928,2,1,0
2799,20,1,0
1992,22,1,0
659,23,0,0
3196,25,0,0
514,19,0,0
2552,14,0,1
1350,5,0,1
2607,4,0,0
1303,24,0,0
2122,29,0,0
289,3,0,0
369,12,1,0
2283,26,1,0
1966,26,0,0
1120,24,0,0
2136,6,0,1
701,20,1,0
3256,29,1,0
355,9,1,1
1345,30,1,0
3179,18,1,0
1646,13,1,0
2736,6,0,0
944,15,0,1
1299,29,0,0
1925,12,0,0
1663,28,0,0
3177,7,0,0
1613,23,0,0
2851,31,1,0
2503,30,1,0
1292,29,0,0
1197,28,0,0
361,15,0,0
3489,5,0,0
1208,2,0,0
1021,4,0,1
1423,17,0,0
1320,2,1,0
2902,12,1,0
311,9,1,0
106,1,0,0
2562,4,1,0
1650,25,0,0
3275,6,1,0
3411,23,0,0
1222,16,0,0
3011,24,0,0
3096,24,0,0
633,21,0,0
2950,18,0,0
340,18,0,0
2112,14,1,1
1988,12,0,0
1179,25,0,0
688,27,0,0
3199,15,0,1
36,20,1,0
1539,28,0,0
2024,20,0,0
2053,22,0,0
1309,1,0,1
1430,30,0,0
440,28,1,0
2671,28,1,0
1062,12,0,0
27,27,0,0
656,16,0,0
2611,1,0,1
3346,5,1,0
2412,14,0,0
3232,18,1,0
528,17,0,0
577,15,0,0
2476,25,0,0
1576,7,0,1
2329,6,1,0
2372,13,1,1
628,25,1,0
1392,23,0,0
1755,1,0,0
2928,23,0,1
1191,22,1,0
1606,31,1,0
2939,27,0,0
1114,22,0,0
172,29,0,0
1838,5,0,0
230,3,0,0
435,17,1,0
1872,14,0,0
1435,30,1,0
315,20,0,1
750,25,1,0
1048,9,1,1
2613,19,0,0
2364,5,1,0
2449,31,1,0
445,17,0,0
496,23,1,0
632,15,0,0
172,24,0,0
2548,27,0,0
548,20,0,0
359,1,0,1
608,25,0,0
857,20,0,0
995,30,0,0
1788,26,0,0
1367,21,1,0
474,12,0,0
580,26,0,0
1757,23,1,0
2459,30,0,0
2535,22,0,0
1174,29,0,0
2016,13,0,0
1928,24,0,0
2913,17,1,0
141,25,1,0
1965,25,0,0
1585,22,0,0
2884,15,0,0
2889,15,0,0
684,28,0,0
233,11,1,0
2202,15,0,0
83,26,1,0
2317,11,0,0
1120,28,0,0
688,28,0,0
1356,14,1,0
3094,18,0,0
462,15,1,0
1700,18,0,0
2281,20,0,0
1816,10,0,0
2844,23,0,0
3048,15,0,1
922,19,0,0
2305,15,0,0
1509,22,0,0
149,11,1,0
3370,29,1,0
3274,8,1,0
2280,14,0,0
1775,16,0,0
2705,20,0,0
1608,23,0,0
1380,29,1,0
2124,12,0,0
1427,4,1,0
2895,18,0,0
1754,27,0,0
2814,2,0,1
753,3,1,1
2957,1,0,1
327,24,0,0
1236,25,1,0
2801,29,0,0
3269,16,1,0
1255,8,1,1
2132,10,1,0
2812,24,0,0
2303,25,0,0
2042,27,0,0
2787,24,1,0
556,21,0,0
2146,20,0,0
2719,20,0,0
1928,0,0,0
3256,24,0,0
2303,14,0,0
1765,19,1,0
2526,24,1,0
307,11,1,1
1699,15,1,1
2642,20,0,0
1554,23,0,0
106,23,1,1
611,3,0,1
952,10,0,0
2906,22,0,0
1366,30,0,0
1666,19,1,0
2425,12,0,0
2911,28,0,0
1068,20,1,0
2354,30,0,0
725,3,1,1
2031,24,0,0
274,14,0,0
1526,1,0,1
997,28,0,0
3241,29,0,0
1435,12,0,0
884,5,0,1
1393,9,0,0
1609,31,0,0
532,28,0,1
1624,13,0,0
1489,8,0,0
2580,17,0,0
3180,10,0,0
2989,5,1,0
15,15,1,0
1374,7,0,1
658,21,0,0
2032,0,0,0
777,11,1,0
2412,25,0,0
2077,23,1,0
1313,23,0,0
1233,20,0,0
203,27,1,0
1420,23,0,0
2504,15,1,0
3457,19,1,0
2911,3,0,0
697,18,0,1
3471,26,1,0
883,12,0,0
1789,7,0,1
1670,13,1,0
704,29,0,0
2109,27,1,0
2427,20,0,0
344,15,0,0
3259,28,0,0
1240,21,0,0
2774,15,0,0
884,15,0,0
1696,16,1,1
359,6,0,0
2483,31,1,0
143,17,0,0
2913,23,0,0
1417,5,0,1
2446,16,0,0
2359,14,0,0
2002,9,1,0
287,22,1,0
3244,4,0,0
68,13,0,0
2098,6,0,0
463,30,0,0
2552,6,1,0
1760,30,1,0
2306,14,0,0
2008,17,1,0
2132,30,0,0
2361,17,1,0
2116,31,0,0
2942,20,0,0
1196,8,1,1
2602,30,0,0
2317,22,0,0
1831,10,0,0
1226,28,0,0
1522,23,1,0
1505,22,1,0
1575,4,1,0
2332,27,0,0
2412,22,0,0
2506,25,1,0
1027,17,0,0
2164,14,0,1
2522,13,1,0
2979,12,1,1
313,3,0,1
3337,11,0,0
1638,7,1,0
266,25,0,0
2842,5,1,0
1501,11,1,1
2706,25,0,0
985,5,0,0
506,4,0,0
1162,11,0,0
2423,16,1,0
686,4,0,0
667,28,0,0
1918,2,0,0
701,9,0,0
1801,5,0,1
1390,12,0,0
2240,4,0,0
2785,24,0,0
1406,16,0,0
3030,24,1,0
2606,28,0,0
1857,16,0,0
250,3,1,1
3320,10,1,0
3370,6,1,1
2507,24,0,0
620,30,0,0
1535,14,0,1
425,11,0,0
537,28,0,0
717,19,0,0
361,21,0,0
1970,27,1,0
778,8,0,0
393,15,1,0
723,21,0,1
864,23,0,0
1690,20,0,0
913,12,1,1
3405,9,1,0
3041,9,0,0
2685,28,1,0
1412,0,0,1
796,8,0,0
900,0,0,0
619,16,1,0
2600,26,1,0
1505,18,0,0
459,21,0,0
1400,7,1,0
924,5,0,0
3469,20,0,0
2809,15,0,0
2185,23,1,0
2385,21,1,1
2559,14,0,0
1007,13,0,0
3298,16,0,0
1379,6,0,0
1205,26,0,0
2428,11,1,0
496,6,0,1
2816,19,1,0
1044,21,0,0
2691,27,0,0
2395,11,1,0
2838,20,0,0
1122,7,1,0
1705,22,0,0
678,12,0,0
282,2,0,1
1037,20,0,0
111,24,0,0
1087,23,0,0
3439,19,0,0
1278,11,0,0
972,26,1,0
733,26,1,0
2051,0,0,0
2056,12,1,0
27,15,1,1
3412,7,1,0
2426,27,1,0
2762,15,0,0
925,31,0,0
1301,1,0,0
299,16,1,0
1832,11,1,1
2380,27,0,0
2995,8,0,0
987,11,1,1
3239,14,0,0
1426,13,1,0
772,17,0,0
2068,27,0,0
2246,1,1,0
1877,8,1,0
96,4,0,0
1092,4,1,0
802,28,0,0
1083,1,0,0
825,17,0,0
2458,16,0,0
1643,19,1,0
2078,19,1,0
2706,15,1,0
326,13,1,0
2903,7,1,0
92,7,1,0
1163,22,0,0
3226,13,0,0
2697,31,1,0
113,7,1,0
847,15,0,0
72,14,1,0
626,15,0,0
2562,1,0,0
2681,29,0,0
1904,22,0,0
1084,21,0,1
2477,4,1,0
710,2,1,1
3064,9,0,0
3129,14,0,0
1939,19,1,0
381,22,1,1
3257,21,1,0
820,15,0,0
1255,22,0,0
3098,10,1,0
2576,26,0,0
2877,7,0,0
2792,3,0,0
2438,10,0,0
1591,11,0,0
1598,28,0,0
96,17,0,0
978,8,0,1
2402,18,0,0
949,20,0,0
89,21,0,0
956,21,0,1
3368,20,1,0
3016,19,0,0
1458,3,1,0
241,9,1,1
973,1,0,1
1488,16,0,0
42,20,0,1
886,19,1,0
1078,9,0,1
3251,19,0,0
1176,15,1,0
2339,28,1,0
1010,9,0,0
2407,21,0,0
2484,30,1,0
1171,27,1,0
1814,15,0,0
2797,24,0,0
68,11,0,1
285,24,1,0
1091,17,1,0
835,23,0,0
3185,26,1,0
3296,22,1,0
747,0,0,0
942,26,1,0
806,15,0,0
1022,14,0,1
89,3,0,1
1201,21,0,1
1567,2,1,0
45,8,0,0
1962,8,1,1
2116,17,1,0
1494,27,0,0
3402,26,0,0
265,26,0,0
1583,28,0,1
2270,25,0,0
2643,27,1,0
1402,10,0,1
653,5,0,1
2759,22,0,0
1347,22,1,0
2962,1,0,0
1172,2,0,0
1679,11,0,0
388,21,1,0
1950,18,0,0
1841,5,1,0
280,9,0,0
1609,25,0,0
3399,3,1,1
1866,6,0,0
1850,15,0,0
1771,5,1,1
1694,27,0,0
2372,15,1,0
309,27,0,0
691,25,1,0
2154,28,0,0
2459,11,0,0
2489,5,0,0
2816,24,0,0
3363,14,1,0
1720,13,0,0
1362,29,0,0
1781,8,0,1
2883,30,0,0
2361,10,0,0
60,25,0,0
957,30,0,0
2767,27,0,0
2860,28,0,0
3108,26,0,0
2665,17,1,0
1277,28,1,0
2279,18,0,0
497,19,0,1
2063,23,1,0
416,10,0,1
914,19,0,0
2600,9,0,0
3469,5,1,0
50,14,0,0
2513,6,0,0
1489,5,0,1
2681,9,1,1
1352,10,0,0
2824,3,0,0
1051,21,0,0
1945,21,0,1
2677,8,0,0
2362,5,1,1
2751,24,0,0
2223,0,1,1
3273,12,1,0
1405,0,0,1
3230,23,0,0
572,18,0,0
2039,15,0,0
2647,0,0,0
294,22,0,0
2535,14,1,0
3232,8,0,0
2432,21,0,0
3443,13,1,0
2509,19,0,0
910,4,0,1
140,14,1,0
297,22,1,0
2742,24,0,0
1373,6,1,0
1263,14,0,0
2661,16,0,0
2126,21,1,0
1078,22,1,0
1253,18,1,0
798,22,0,0
3449,11,0,0
705,6,0,0
1084,18,1,0
3359,12,0,0
2577,7,1,0
525,30,0,0
597,20,0,0
3162,1,1,0
413,26,0,0
2861,20,0,0
1555,10,0,0
1231,9,1,0
1331,11,1,0
1555,18,1,0
1957,31,0,0
1071,23,0,0
1866,26,1,0
854,11,1,0
2659,25,0,0
2737,15,1,0
430,7,1,0
304,14,1,0
1818,26,0,0
1582,28,0,0
1026,14,0,0
2558,18,0,0
3472,0,0,0
2607,19,1,0
3037,1,0,0
3344,31,1,0
1306,21,0,0
1045,22,1,0
2770,20,0,0
110,24,0,0
3487,21,1,0
1704,20,0,0
393,20,0,0
2429,21,1,0
945,5,1,1
3201,17,0,1
3309,19,1,0
2960,31,0,0
1630,24,0,1
1000,30,0,1
1703,27,0,0
1245,26,0,0
617,24,0,0
1254,5,0,0
2422,9,1,0
428,25,0,0
2805,11,0,0
2228,14,0,0
620,2,0,1
1593,24,0,0
2466,16,0,1
2749,8,1,0
2231,3,0,0
2051,20,0,0
558,12,1,0
2742,27,0,0
1607,16,0,0
1542,15,1,0
2443,27,1,0
3230,21,1,0
2454,29,0,0
170,7,0,0
1227,5,1,1
1139,3,0,0
1993,22,0,0
1079,19,0,0
3223,13,0,0
3183,18,0,0
1233,18,0,1
2053,27,1,0
3045,0,1,0
2184,15,0,1
927,0,0,1
160,3,0,0
2631,6,1,0
2268,9,1,0
2205,23,1,0
1806,8,0,0
2126,12,1,1
3338,15,0,0
844,17,0,0
24,24,0,0
3381,26,1,0
191,20,0,0
1670,24,0,1
462,9,0,1
2624,3,1,1
2413,7,0,1
2099,9,0,0
266,6,1,1
385,17,0,0
326,22,0,0
2099,10,1,0
2712,4,0,0
1867,14,0,0
521,19,0,0
29,27,1,0
3089,2,0,0
951,26,0,0
2813,11,0,0
2367,18,0,0
1775,23,1,0
730,27,1,1
104,12,1,0
1112,29,0,0
708,12,0,0
1343,10,0,0
3031,15,0,1
2761,16,0,0
2587,29,0,0
556,30,0,1
1316,7,0,0
1967,18,0,0
2357,1,0,1
808,11,0,0
3383,24,1,0
92,16,0,1
1262,16,0,0
2804,2,1,0
173,10,1,0
3148,21,0,0
1034,24,1,0
850,30,1,0
439,23,1,0
1514,14,0,0
1614,14,0,0
2386,26,1,0
2328,24,0,0
1947,10,1,0
1435,25,1,0
3342,27,0,0
1525,16,1,0
1878,21,1,0
2403,18,0,0
3248,20,0,0
57,25,0,0
3217,31,0,0
2173,8,0,1
2129,14,0,0
2640,11,0,0
1814,2,0,1
1139,0,0,0
1476,16,0,1
446,19,0,0
2601,24,0,0
163,29,0,0
207,26,0,0
1539,17,0,1
2115,30,1,0
3013,8,0,1
1661,27,0,0
3341,30,1,0
160,17,0,0
3098,6,1,0
1265,28,1,0
1567,17,0,0
856,7,0,1
2625,3,0,0
1634,29,0,0
444,13,0,0
1910,9,0,0
3224,5,0,0
1651,26,1,0
3467,11,0,0
3258,20,1,0
98,11,0,0
2469,28,1,0
2775,29,0,0
2503,13,0,0
1619,19,0,0
3117,21,1,0
2986,1,0,0
143,19,0,0
1303,11,0,0
1220,25,0,0
998,23,0,0
1541,30,1,0
2073,14,0,0
2958,10,0,0
3351,22,1,0
2376,12,0,1
755,18,0,0
1767,22,1,0
1604,1,0,1
1665,24,0,0
1067,18,0,0
2330,22,0,0
78,17,1,0
1487,29,0,0
1206,24,0,0
767,17,0,0
80,30,0,0
1729,11,0,0
1495,16,0,0
3287,7,1,0
1305,7,0,1
1284,17,0,0
1670,7,1,0
1630,12,0,0
2654,13,0,0
3157,24,0,0
2713,2,0,0
900,2,1,0
3121,5,0,1
560,25,1,0
2485,16,0,0
2739,17,0,0
2265,17,0,0
3452,14,0,0
2000,26,0,0
2307,12,0,0
3143,11,1,0
3039,17,0,0
1721,13,0,1
2391,20,0,0
1440,21,0,0
849,16,1,1
3247,10,0,1
3402,13,0,0
2582,26,0,0
428,17,1,0
1170,8,1,1
1954,29,1,0
2507,13,1,0
813,15,0,0
383,9,1,0
639,10,0,0
1177,31,0,0
1399,16,0,0
1133,15,0,0
61,8,0,1
79,16,0,0
1627,22,1,0
931,3,0,1
1499,0,1,0
335,21,0,0
3305,14,0,0
2447,27,1,1
495,5,0,1
1330,28,1,0
2317,6,1,0
219,28,0,0
2655,21,0,0
691,24,0,0
841,18,1,1
1307,27,0,0
885,24,0,1
3265,26,0,0
2112,24,0,0
3168,19,0,1
1411,29,0,0
2536,7,0,0
763,20,0,0
414,20,1,0
386,23,0,0
1938,14,0,0
449,27,1,1
2010,29,1,0
1821,21,0,0
242,15,0,0
2742,21,0,0
3009,18,1,0
171,10,0,1
1816,9,0,0
3194,21,0,1
545,4,0,1
2908,8,0,0
358,8,0,0
2571,8,0,0
3279,21,0,0
176,15,0,1
2688,27,1,0
237,20,0,0
2452,14,0,0
2828,26,1,0
1572,13,1,0
1557,8,0,1
1878,11,0,0
313,23,0,0
2630,22,1,0
674,9,0,0
2858,11,0,0
2924,26,1,0
1516,22,1,0
1541,27,0,0
75,5,0,1
375,25,0,0
2420,22,0,0
3478,14,0,0
454,21,0,0
3228,22,0,0
1945,8,0,1
2956,18,0,0
1492,17,0,0
59,13,1,0
2251,17,0,0
2519,14,0,0
811,1,1,0
1561,29,0,0
175,30,1,0
2805,0,1,0
1060,25,1,0
2120,19,0,0
2320,7,0,1
1539,21,0,0
3262,26,1,0
2572,6,0,1
1482,16,1,0
2888,3,0,0
73,12,0,0
1950,23,0,0
2986,21,1,0
906,8,0,1
1045,16,0,0
3037,16,0,0
1147,25,0,0
2863,2,0,0
2586,25,0,0
1927,25,0,0
930,2,0,0
991,23,1,0
1072,9,0,0
1068,30,0,0
2406,1,1,1
1307,23,0,0
1486,1,0,0
1198,10,0,0
2677,17,0,0
2371,14,1,0
921,26,0,0
2499,11,0,0
275,28,0,0
2258,23,0,0
3418,19,0,0
2159,22,1,0
2016,27,1,0
2554,9,0,0
219,25,0,0
3380,20,1,0
584,6,1,1
3069,19,0,0
3479,17,0,0
3300,6,1,0
1407,21,0,0
1105,12,0,0
196,19,1,0
2727,28,0,0
362,10,0,0
1493,24,1,0
909,11,1,1
873,10,0,1
2958,22,0,0
289,11,0,0
2576,2,1,0
1726,12,1,0
2962,5,0,0
1446,11,0,0
2099,17,0,0
1040,29,1,0
3181,23,1,0
511,6,0,1
3133,23,1,0
2884,15,1,0
154,10,0,0
1875,3,0,0
3238,24,0,0
436,13,1,1
2830,23,0,0
2145,25,0,0
3326,27,0,0
1090,14,1,1
611,14,0,0
592,22,1,0
2790,12,0,0
115,2,1,1
82,7,0,0
348,21,0,0
3078,15,0,0
1775,29,0,0
323,15,0,0
13,13,0,1
520,0,0,1
380,30,1,0
1699,20,0,0
2376,12,0,0
1260,2,1,0
909,25,1,0
2717,19,1,0
3258,27,0,0
3255,0,0,0
1739,23,0,0
3102,21,0,0
586,6,0,0
535,24,1,1
456,13,0,0
885,3,1,1
2478,13,0,0
1676,13,1,0
1041,30,1,0
3447,9,1,0
2666,20,1,0
901,11,1,0
3302,29,1,0
551,25,1,0
2518,12,0,0
2977,21,1,0
3288,20,1,0
1843,29,1,0
1656,23,0,0
1517,14,0,0
3392,10,0,0
3416,21,1,0
1147,17,0,0
397,18,0,0
1692,12,0,0
799,2,0,1
2245,29,0,0
2036,19,0,0
826,15,0,0
1876,22,1,0
1214,27,0,0
3290,25,1,0
569,29,0,0
3372,5,0,0
167,19,1,0
324,0,0,0
2411,27,0,0
1249,1,0,0
22,6,0,1
287,20,1,0
1359,29,0,0
2254,22,1,0
1293,25,0,0
1119,0,0,0
1906,19,1,0
787,13,1,0
2175,20,0,0
2345,1,0,0
3269,4,1,1
2630,29,1,0
2316,16,0,0
1628,18,0,0
2691,18,0,0
1504,3,1,0
2508,28,1,0
3062,14,0,0
424,8,0,0
1592,12,1,0
639,8,0,0
247,22,0,0
176,7,0,0
1187,30,0,1
1891,28,0,0
1354,2,1,0
2018,21,1,0
1230,18,0,0
173,23,1,0
211,14,0,0
2142,27,0,0
1703,11,0,0
3312,9,1,0
139,17,1,0
385,12,1,0
275,29,0,0
2139,23,0,0
1808,23,1,0
1032,25,0,0
2051,3,1,1
2483,26,1,0
2216,5,1,0
2407,19,1,1
1175,18,0,0
58,4,0,0
1136,27,0,1
2023,27,0,0
543,8,0,0
2896,13,1,0
2286,26,0,0
3093,24,0,0
1979,18,0,0
2431,23,1,0
1234,31,1,0
2795,5,0,0
720,24,1,1
1475,25,0,0
10,10,0,0
1892,16,0,0
1280,5,0,0
42,12,0,1
370,27,0,0
30,19,1,0
1598,22,0,0
3028,3,0,0
20,20,0,0
766,20,0,0
3199,26,0,0
2633,3,0,1
1242,14,0,0
807,30,0,0
1323,5,0,0
2095,26,1,0
1809,31,0,0
2057,24,0,0
193,14,1,0
2076,29,1,1
784,29,0,0
661,21,0,1
2886,20,1,0
1899,20,1,0
1724,21,0,0
385,23,0,0
3131,14,1,0
678,14,0,0
1946,30,0,0
1956,12,0,0
1599,9,1,0
2727,23,1,0
1315,25,1,0
2016,26,0,0
1313,13,0,0
1102,5,0,1
842,8,1,0
1988,14,0,0
1816,29,0,0
2466,12,1,0
1671,8,1,0
2275,18,0,0
236,3,1,1
442,0,1,0
3311,11,0,0
