ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
34,retained,126,101,346.3382111,2225,149,0,3666.356368,1446.018362,11,11,iPhone
35,retained,156,127,780.9466294,101,113,0,1944.771913,646.9535456,18,18,iPhone
36,retained,75,60,108.1659311,2329,223,36,2354.623612,809.7421876,4,1,Android
37,retained,16,14,103.8941155,443,0,5,8786.114497,7181.044427,19,19,Android
38,retained,95,78,190.9769901,1848,35,28,2314.364451,1317.170917,20,20,iPhone
39,retained,91,91,123.8217255,470,0,86,3423.421216,2355.455086,29,26,iPhone
40,retained,105,91,115.0010192,655,14,11,1822.449032,1197.962657,24,24,Android
41,retained,20,17,183.5959214,2601,325,15,3182.697466,1768.326087,23,16,iPhone
42,retained,165,132,309.913971,2567,293,76,4673.201532,2119.32992,20,17,Android
43,retained,133,106,182.484696,2595,185,52,4422.867487,2012.308708,8,2,Android
44,retained,26,22,132.0307891,921,272,7,632.1399703,420.7125087,30,24,Android
45,retained,25,25,63.26935458,1219,7,0,1187.584153,419.5127746,27,25,iPhone
46,churned,114,105,309.5828548,189,11,7,4285.245618,2322.605058,9,4,iPhone
47,churned,23,20,24.75851394,552,65,14,1564.220191,821.8420876,3,3,iPhone
48,churned,48,42,223.2527291,757,335,28,9947.593149,3369.145354,8,2,iPhone
49,retained,62,51,113.8218829,694,274,42,3826.387247,2916.712292,26,21,Android
50,retained,7,7,36.67792977,2794,274,18,1130.116953,723.0277468,8,8,iPhone
51,retained,67,57,76.46614419,1713,0,52,1620.545554,793.9297612,25,19,Android
52,retained,4,4,62.62085256,3291,65,0,4996.233445,1345.047896,28,23,iPhone
53,retained,84,68,123.517569,3286,74,145,1558.791847,1201.028705,17,15,iPhone
54,retained,12,10,21.82921966,3365,26,0,2900.68855,1698.26517,14,7,Android
55,retained,20,18,110.2701495,724,70,0,4418.959399,1660.205994,7,3,iPhone
56,churned,150,127,187.7083464,2028,208,132,1396.461977,496.6208911,0,0,iPhone
57,retained,41,33,176.6673157,2257,86,9,2493.388001,1103.630334,5,4,Android
58,retained,44,35,125.7867257,2193,304,0,351.6341884,243.7716509,11,9,iPhone
59,retained,23,20,24.46477623,1924,169,0,11556.27748,4966.840886,27,26,Android
60,retained,49,42,68.3160358,1195,132,9,2702.164267,244.0548921,31,20,iPhone
61,retained,43,35,236.7279571,1756,29,53,1461.93937,954.0503968,8,8,iPhone
62,retained,69,56,81.66585433,1356,373,0,11014.87014,9143.800241,24,23,iPhone
63,retained,253,203,298.6736471,1546,0,88,4695.169432,2146.467081,6,1,iPhone
64,retained,4,3,113.8187866,1830,233,0,9624.439528,3213.049582,6,0,Android
65,retained,12,12,478.4156826,1796,69,35,6931.284783,4643.478348,23,22,Android
66,retained,150,121,270.5629064,1347,0,0,1791.379149,253.7758791,30,26,iPhone
67,churned,36,29,50.08943164,1167,139,0,3215.221847,1594.991577,1,1,iPhone
68,retained,25,21,66.56667195,1619,147,11,3554.923388,2616.219443,19,18,iPhone
69,retained,36,30,132.3810261,2384,7,0,2485.994087,1197.510681,10,4,iPhone
70,churned,62,51,327.5779296,2285,381,0,5270.991501,2571.449828,16,16,Android
71,retained,248,200,248.3113428,2849,87,0,3377.481893,2032.029458,8,5,iPhone
72,retained,23,20,126.0890646,997,36,71,8054.086196,1506.312415,28,21,iPhone
73,retained,89,81,210.6642815,1189,0,68,5678.087584,1924.068701,29,22,iPhone
74,retained,142,113,324.7514369,3001,806,18,1966.355964,872.2037088,29,20,iPhone
75,retained,84,67,134.0383111,2868,177,55,2541.396988,1453.3281,22,21,iPhone
76,retained,30,28,73.91682979,1722,293,17,5574.224608,3842.845897,8,6,iPhone
77,,63,50,133.1041552,783,201,0,2649.015822,1517.20997,19,13,iPhone
78,retained,54,54,320.3440758,1285,0,77,2575.812329,987.0413442,29,20,Android
79,retained,97,84,209.2083212,1980,0,0,4471.194505,2104.72818,22,15,Android
80,,116,93,436.0601833,1584,283,62,4183.409514,3121.889952,18,15,iPhone
81,churned,26,23,83.16688568,2118,335,0,944.2046415,455.0263064,2,0,Android
82,retained,16,16,40.74102349,484,373,61,3628.581195,2134.416647,9,9,iPhone
83,retained,22,17,130.7650795,199,75,28,4626.208693,1499.578879,29,24,Android
84,retained,18,18,446.7149825,1115,228,0,4798.273478,3831.848313,31,25,iPhone
85,retained,16,16,20.26166523,960,279,58,5044.128761,3437.228784,24,23,Android
86,retained,57,47,72.55234081,1260,230,65,3644.416203,1020.232449,5,4,Android
87,retained,18,18,197.7664549,1517,200,9,3771.957224,1639.140405,2,2,iPhone
88,retained,306,246,320.2575311,2252,60,0,3595.562658,2420.119875,28,20,Android
89,retained,35,28,71.61167794,1987,534,0,2422.61532,1156.60925,18,13,Android
90,retained,105,105,286.8490491,2826,168,0,2237.801562,1056.262155,4,0,iPhone
91,retained,117,94,156.839706,3479,286,17,1761.21432,310.7107283,28,26,iPhone
92,retained,106,86,203.3186425,846,318,0,3737.339752,1055.547009,9,3,iPhone
93,retained,52,46,58.27949387,613,223,183,4742.485842,3196.94492,20,20,iPhone
94,retained,17,14,279.9773294,3440,95,56,2674.811414,229.6819476,2,2,iPhone
95,churned,116,95,192.6382907,359,142,0,4032.868589,2695.612209,1,0,iPhone
96,churned,305,244,638.0401516,400,171,164,1896.894034,960.975077,19,13,Android
97,retained,0,0,559.5471117,2879,0,0,6668.84435,3511.370419,28,24,Android
98,,78,64,583.4927887,3414,0,0,1811.140893,642.1891216,12,11,Android
99,retained,34,34,67.80586996,1403,27,24,6254.94844,3742.935943,1,1,iPhone
100,churned,122,99,295.5242311,2482,167,0,3396.139646,1841.313356,2,0,iPhone
101,retained,76,62,136.1968645,70,31,0,5700.894677,1041.768956,6,3,iPhone
102,retained,113,91,236.2949809,1031,34,65,2810.720839,1245.591383,0,0,iPhone
103,retained,78,63,121.4956353,2231,0,9,2427.257066,831.6080142,21,18,iPhone
104,churned,48,39,132.1688328,2279,194,0,2626.224474,1437.792565,24,24,Android
105,retained,37,30,53.99957919,710,2,30,5661.684796,2816.030953,26,20,Android
106,retained,139,112,321.7948003,2298,237,58,1243.198074,675.2571618,29,23,Android
107,retained,66,55,120.0854852,2515,0,0,2641.117738,2125.9414,16,14,iPhone
108,retained,29,23,56.53640154,677,309,0,5052.460683,868.0307127,7,5,iPhone
109,retained,38,38,77.18311377,2324,7,27,1702.406888,364.6328176,3,3,Android
110,retained,56,47,90.50690136,1714,0,0,1586.463423,733.9737947,15,13,Android
111,,106,102,113.3790556,2228,14,0,2817.48184,2011.724274,17,13,Android
112,retained,54,45,116.6071611,3240,14,79,1762.324979,1006.688166,10,6,Android
113,retained,91,73,168.251515,3045,198,187,792.4761859,490.3170508,21,13,Android
114,retained,18,15,85.47546123,1305,25,10,2727.785623,513.498205,7,7,iPhone
115,retained,40,32,52.76008722,314,0,0,1724.225763,904.4785419,0,0,iPhone
116,retained,23,19,55.70118982,943,13,0,1234.079017,865.2079368,4,4,Android
117,retained,79,64,245.6239413,3016,0,92,4457.568347,1293.012432,25,20,Android
118,retained,42,34,174.1668226,1461,0,82,3478.887784,2343.429301,6,3,Android
119,retained,192,155,234.4007225,2503,205,40,9041.333182,4364.070565,28,26,Android
120,retained,16,14,403.4809775,1267,14,3,2585.059579,1690.346282,24,23,iPhone
121,churned,67,55,129.2595571,2922,310,15,2569.150563,1948.197506,11,7,iPhone
122,retained,150,122,269.0140577,546,0,38,6446.129773,2611.811183,16,10,iPhone
123,retained,31,25,130.3460437,3251,67,29,7712.174513,972.9860613,19,12,Android
124,churned,97,80,131.9129271,2929,37,0,4255.626774,866.8800721,12,9,Android
125,retained,16,15,157.9590826,343,53,44,1730.393075,455.4794569,25,16,Android
126,retained,148,118,167.2459681,2680,12,0,6206.237566,1879.524603,10,7,iPhone
127,retained,402,322,510.9532675,496,0,132,5781.057241,515.2152664,24,21,iPhone
128,retained,15,15,115.6572458,811,6,0,3090.907194,1572.509162,6,1,iPhone
129,retained,138,129,198.6097411,2053,62,39,2600.810383,1077.126474,26,23,iPhone
130,churned,39,32,176.5371809,190,610,33,4846.91837,2681.366806,4,4,Android
131,retained,25,25,716.0780294,2739,0,11,11009.29294,205.8626513,19,17,Android
132,retained,7,6,65.07366594,3023,140,0,1378.65079,385.7186153,27,18,Android
133,retained,17,15,105.6192067,1748,44,13,2774.682089,681.2939989,5,2,Android
134,retained,33,27,256.7593388,3012,136,72,9522.433102,1175.241192,10,10,iPhone
135,retained,40,32,102.9483312,3323,154,101,3465.589796,1951.540263,14,13,iPhone
136,churned,89,82,91.52727513,2254,0,0,1772.191366,581.6487794,3,3,iPhone
137,retained,237,193,268.643805,1258,88,9,4478.18088,3120.903895,27,24,Android
138,retained,141,113,242.1291202,508,0,0,4136.026058,1841.184376,12,11,iPhone
139,retained,29,29,490.3315821,2551,120,73,6323.941583,3381.924229,15,15,Android
140,retained,175,140,245.7357075,2808,145,27,5732.235928,1978.80378,3,3,iPhone
141,retained,222,177,637.1520592,3021,71,95,2847.210995,1023.024294,29,24,iPhone
142,,32,26,222.12931,208,55,10,2459.816477,874.4276172,11,7,iPhone
143,retained,45,37,124.6937427,3073,81,112,2422.060394,1466.9046,24,15,Android
144,retained,53,43,169.9292346,2389,0,24,5406.819727,3727.775268,17,17,iPhone
145,retained,49,40,421.6059953,3244,30,0,2810.309139,1608.434574,12,5,iPhone
146,retained,89,72,187.9245034,2507,43,28,854.3864466,619.1899061,25,22,iPhone
147,churned,231,186,268.4330673,2726,81,0,3162.956577,2625.667679,1,1,Android
148,retained,51,41,94.97103389,3202,180,0,1642.368888,1064.403306,23,21,iPhone
149,retained,40,32,142.4369117,81,172,0,3296.985485,678.2867502,25,16,Android
150,retained,33,30,66.8912126,1324,221,0,3991.841876,811.7367455,2,0,iPhone
151,churned,16,16,96.28488763,263,195,0,6457.34681,2797.664795,5,1,iPhone
152,retained,130,108,186.1927457,3116,243,126,9184.587914,5580.123677,24,15,iPhone
153,retained,7,6,58.86116655,350,0,13,1838.430447,589.7720026,25,20,iPhone
154,retained,219,188,280.4192673,2306,0,77,3353.748203,839.8553132,13,7,Android
155,retained,260,208,593.8376512,720,20,0,2752.548464,511.8992854,10,8,Android
156,retained,14,13,62.99429299,843,35,7,1945.668314,1482.244178,24,22,Android
157,retained,161,129,647.4846853,672,0,31,4800.011104,3955.734301,15,14,iPhone
158,retained,97,78,423.9110606,1613,127,0,5035.613545,3271.766085,13,10,iPhone
159,retained,190,154,309.6783197,400,83,7,1789.478603,1418.241292,23,22,Android
160,retained,127,104,156.3539388,2184,0,48,9913.302189,2062.89733,25,25,iPhone
161,retained,41,33,167.2110599,2329,0,78,4795.348762,1610.18192,25,23,iPhone
162,,3,3,17.25022014,3203,22,0,11819.36633,3351.019594,3,0,iPhone
163,retained,17,14,88.08790771,2992,123,53,2225.986252,1173.622402,22,15,Android
164,retained,43,43,171.9048024,1307,50,9,2683.155744,877.2887424,29,23,iPhone
165,retained,143,114,166.2799211,3095,111,15,4933.769533,2255.994717,11,6,iPhone
166,retained,140,113,185.1143893,2137,137,28,3294.554435,1909.513018,9,9,iPhone
167,churned,64,64,296.5899668,273,701,104,2196.549568,1414.4318,19,18,Android
168,retained,266,217,301.0848611,2476,0,44,3289.331979,974.2172746,29,26,Android
169,retained,218,175,309.0933633,1666,0,49,1433.805883,890.4583449,26,18,Android
170,retained,11,9,63.37880655,712,81,26,1624.454611,59.98446528,22,15,Android
171,retained,70,63,94.58117968,2774,59,0,3201.918054,1210.004022,30,20,iPhone
172,churned,123,99,152.5567286,2298,17,0,3082.671245,1191.406698,6,0,Android
173,churned,126,101,162.4519603,603,74,0,1392.044767,927.1696159,30,25,iPhone
174,retained,20,16,53.4550273,2463,411,89,3766.481688,1442.969873,21,21,Android
175,retained,55,55,81.58863034,3057,501,0,3729.175462,1894.837665,28,23,Android
176,,283,226,529.5339436,1110,6,0,3028.6013,2489.697005,17,11,iPhone
177,retained,26,21,150.2961319,3217,163,17,1714.793605,1137.647657,13,10,Android
178,retained,12,12,14.72156617,3345,0,62,7170.180492,5209.574641,5,5,iPhone
179,retained,12,11,125.4712179,961,256,31,1579.994416,1172.120431,30,25,iPhone
180,retained,95,77,205.0061797,3091,223,113,1330.165394,694.2273068,15,10,iPhone
181,retained,11,11,60.39582231,1265,160,66,6508.284915,2393.696833,18,16,iPhone
182,churned,158,127,483.2623817,1379,90,99,6359.668308,3871.44325,8,8,iPhone
183,retained,63,51,164.2653247,2060,0,0,2793.932988,2196.625007,24,22,iPhone
184,retained,181,147,343.9452249,3498,34,0,2847.316114,1463.121713,16,9,Android
185,churned,2,2,18.27780555,2252,21,0,4267.335798,1968.320404,7,2,iPhone
186,retained,42,34,185.6691488,189,71,0,3989.118427,2421.203373,30,27,iPhone
187,retained,47,47,57.56448616,3110,11,24,1358.495097,523.7240476,23,18,Android
188,retained,13,13,148.67747,1026,0,0,9677.771658,2910.908676,28,20,iPhone
189,retained,69,55,612.7393981,2127,295,44,2250.61469,573.5874281,9,6,iPhone
190,retained,91,73,98.65923505,1814,0,49,4142.799208,3194.839867,6,3,Android
191,churned,150,122,247.3249005,1070,187,0,6393.481743,4553.238421,6,6,iPhone
192,retained,71,61,107.0263131,26,49,167,3389.641001,2533.340808,26,17,Android
193,retained,49,40,177.9586432,3477,16,0,3304.917873,876.5817852,11,11,iPhone
194,churned,231,191,406.1782678,745,0,11,3527.611715,936.001503,28,18,iPhone
195,retained,80,64,94.32008442,1364,374,75,541.5097616,242.0482374,29,23,Android
196,retained,20,17,64.41973416,149,33,0,8844.035207,4499.867035,20,17,iPhone
197,retained,67,54,230.4582451,1256,41,64,5045.398456,2109.483123,12,8,iPhone
198,retained,16,13,186.9794651,3306,184,32,905.6810673,299.0163994,10,10,Android
199,,27,23,196.8396051,2800,156,0,11579.5651,3373.482562,23,18,iPhone
200,churned,5,5,138.8705748,321,0,0,8809.226415,2667.907883,3,0,Android
201,churned,26,22,112.9586168,957,622,0,1611.446289,892.4956928,7,3,iPhone
202,retained,57,46,271.9233666,777,95,33,2804.191515,1976.310414,6,5,Android
203,retained,83,67,96.30479738,1532,125,0,2948.886919,993.8732641,6,6,Android
204,retained,192,175,221.6576984,2047,102,51,3166.429712,960.7904459,24,23,Android
205,retained,33,30,109.9488004,1364,0,0,3559.971515,2406.462487,14,12,iPhone
206,retained,26,22,137.1660111,82,437,28,2167.763491,1735.421979,6,6,Android
207,churned,40,32,145.0459423,3346,443,9,3074.663538,1895.630542,30,27,iPhone
208,retained,108,87,191.936044,110,0,20,6768.997378,1506.123087,28,26,iPhone
209,retained,147,147,231.6026323,3414,133,53,5110.800712,2591.209147,23,14,iPhone
210,churned,351,281,453.6394213,3362,0,0,1812.494756,665.2729911,9,8,Android
211,retained,28,23,66.27163423,780,61,0,2214.364804,998.3809116,27,22,iPhone
212,retained,118,98,262.4824485,1728,74,208,3780.784102,1561.377004,30,24,iPhone
213,retained,53,53,77.9959639,1208,175,0,1678.647111,1292.628032,21,14,iPhone
214,retained,58,51,181.5508049,707,1,0,2687.263718,274.4209506,12,5,Android
215,retained,32,28,130.4263098,2747,66,143,1134.727416,194.7750303,22,21,Android
216,retained,198,161,215.9992155,2806,86,0,5592.664287,3732.715173,21,15,iPhone
217,retained,0,0,33.71021032,629,160,0,6103.88167,1767.846528,8,2,iPhone
218,churned,24,19,119.5481767,1827,0,0,5161.398906,3521.634946,3,2,iPhone
219,retained,134,108,304.7897104,805,38,0,9674.81691,992.5048321,28,18,iPhone
220,retained,45,36,521.043069,667,0,13,7906.134625,4617.912995,8,5,Android
221,retained,131,106,199.4857666,2208,0,0,1282.633982,319.3697841,11,11,iPhone
222,retained,130,104,164.3212072,853,133,0,2871.615782,1542.044342,10,10,iPhone
223,retained,14,12,227.863193,1757,34,0,4979.183869,1724.017094,28,19,iPhone
224,retained,185,149,311.2870759,3287,165,0,3810.497042,772.7007434,27,22,iPhone
225,retained,51,41,436.8746889,745,93,0,3685.383695,2801.633855,27,26,iPhone
226,retained,72,59,162.9841356,332,1,0,2375.993763,921.2046724,29,20,iPhone
227,retained,17,17,146.017828,1905,106,0,1675.366755,753.1189145,25,24,Android
228,retained,37,37,63.34400869,2057,0,14,1087.050057,781.0449242,14,14,iPhone
229,retained,7,6,176.803129,2951,73,56,7589.578721,4500.599272,13,11,iPhone
230,churned,15,12,111.2465431,1118,61,0,2368.45335,1260.738374,7,3,iPhone
231,retained,91,73,103.89582,3387,266,19,6995.447995,2721.061538,11,9,Android
232,churned,1,1,37.32263096,2041,46,163,6861.286668,4983.85779,12,9,iPhone
233,retained,9,8,258.5981961,343,351,117,3091.281136,2512.662365,16,15,iPhone
234,retained,56,46,55.92225593,1918,25,9,5799.5886,905.8854373,3,3,iPhone
235,churned,16,13,178.3434574,2937,108,0,1242.125798,261.7615756,11,8,iPhone
236,retained,136,110,136.9216388,605,364,0,1342.593311,333.6268656,31,21,iPhone
237,retained,239,192,375.7182036,2616,13,0,6343.510823,4878.599543,7,7,iPhone
238,churned,17,13,209.924477,171,57,0,3006.377135,1539.70849,4,4,iPhone
239,retained,120,101,547.6469834,3014,237,0,2474.647978,1107.658252,12,8,Android
240,retained,9,9,94.15769837,1638,37,0,2280.396864,1175.622699,8,3,Android
241,retained,49,45,78.08356425,3178,14,19,3520.871967,2367.054714,3,3,iPhone
242,churned,51,42,67.71359618,1828,0,24,7160.138608,4289.050141,12,12,Android
243,churned,293,235,362.5371744,710,222,0,4007.933555,1589.505388,8,6,iPhone
244,retained,73,66,103.92497,1413,0,0,1755.794535,1311.463056,17,13,iPhone
245,retained,10,8,70.68795123,2266,43,31,889.0358983,256.717097,5,5,iPhone
246,retained,16,16,50.39101573,1987,157,0,1139.850735,374.755023,18,13,iPhone
247,retained,29,29,89.7006354,1998,293,86,8353.314432,4877.501795,17,15,iPhone
248,churned,48,39,109.4921618,1507,0,0,3331.523048,2717.400862,11,7,Android
249,retained,148,128,170.701183,1288,221,110,3489.964417,1430.914975,7,4,iPhone
250,retained,25,25,26.31739936,2036,0,0,7236.941229,3064.028566,26,24,iPhone
251,churned,94,75,102.201763,1718,0,98,5314.988573,1962.160205,3,3,Android
252,churned,103,84,117.408428,720,25,0,4455.222323,1422.367429,3,2,iPhone
253,retained,27,22,44.4100336,1551,65,121,5654.090998,1326.127806,10,10,iPhone
254,churned,48,39,65.39750604,1315,191,2,4637.017844,1602.177101,3,3,Android
255,retained,263,216,271.5999514,1696,1,48,5096.15163,944.7660679,0,0,iPhone
256,retained,138,111,221.4540961,872,97,77,2947.870739,317.2041291,18,14,iPhone
257,retained,229,198,276.9777577,2118,185,0,1234.394696,721.6809633,22,19,iPhone
258,retained,64,55,262.5392446,3384,146,0,2854.907544,1019.896054,29,22,iPhone
259,churned,231,186,239.0754338,2012,47,0,2903.102397,794.2154583,21,20,iPhone
260,retained,26,21,153.8244071,462,65,31,7527.039567,4070.402474,10,9,Android
261,retained,68,55,89.89817396,558,0,44,4157.857045,3232.403234,13,12,iPhone
262,retained,226,181,249.415761,2585,420,94,2649.779838,1705.587495,26,16,iPhone
263,retained,98,80,138.8966777,1502,188,9,2352.808479,1356.918348,21,13,iPhone
264,retained,19,17,108.3085782,489,84,0,6016.787107,3032.050167,15,11,iPhone
265,retained,45,36,77.74150106,520,5,29,4603.909263,1490.444254,27,19,Android
266,,70,58,137.1512793,3264,45,0,1305.946778,996.394443,21,18,Android
267,retained,31,27,199.1817354,2891,171,0,3255.874666,1919.401874,26,21,iPhone
268,retained,13,10,34.86172503,1179,0,99,1023.566551,337.7888487,31,29,iPhone
269,retained,32,27,100.6259772,311,198,39,4939.367292,3849.562763,11,10,Android
270,retained,21,17,172.2561926,901,376,45,1709.999766,703.4949047,24,22,iPhone
271,retained,52,52,127.2898283,1672,714,0,6134.963884,4409.821166,27,17,iPhone
272,retained,75,61,158.7614474,1990,48,55,3169.686605,1325.913355,10,10,iPhone
273,retained,57,45,298.4321171,2962,0,13,6933.874574,2058.162246,7,7,Android
274,retained,27,22,186.5927505,2125,411,23,1517.931358,469.7574809,22,16,Android
275,retained,245,200,361.8844446,662,566,16,3287.554983,1178.941717,25,22,iPhone
276,retained,34,27,92.25161465,2761,174,0,2218.516115,1056.953313,16,8,iPhone
277,retained,69,61,114.7379542,1065,19,0,5795.613873,4479.103775,22,17,Android
278,churned,172,142,252.6878957,1823,0,28,4468.734705,2400.274437,4,4,iPhone
279,retained,266,214,440.7819453,485,40,29,1467.413353,1188.423862,29,19,iPhone
280,retained,42,36,356.9046735,1064,7,33,7447.127529,2503.810441,17,17,iPhone
281,churned,2,2,68.43454952,3150,0,60,3837.59098,2842.697652,1,0,iPhone
282,retained,51,42,116.2018066,2747,231,0,6283.729699,3332.246206,27,24,iPhone
283,,170,137,354.2976621,869,18,25,3914.401147,2500.266993,3,2,Android
284,retained,55,44,92.37585542,672,82,0,7185.197626,3885.194154,8,8,iPhone
285,retained,2,2,113.1919854,1399,238,94,1731.391158,1064.197865,24,18,Android
286,retained,12,10,71.44822472,2395,39,91,5385.271175,3025.260911,28,27,iPhone
287,churned,119,96,263.9841144,230,150,7,950.9577953,353.2173999,6,6,iPhone
288,,199,159,248.5608538,2959,127,0,5285.296516,1383.3253,29,20,Android
289,retained,189,162,420.149277,1787,331,17,2782.363662,883.795458,5,5,iPhone
290,churned,13,13,27.58100881,2523,245,21,1406.660825,757.3981893,3,0,Android
291,churned,183,149,221.8495146,1848,266,51,1624.752998,1034.974113,5,5,Android
292,retained,6,5,157.7901742,596,225,0,4290.131177,1616.236589,5,0,iPhone
293,churned,141,116,298.7370296,1158,115,33,1089.856665,206.6034532,22,22,Android
294,retained,67,54,108.3482441,3491,57,0,918.7551918,745.8334329,13,13,Android
295,retained,35,34,170.5726742,1010,22,152,1864.129806,1376.523617,30,28,iPhone
296,retained,209,168,460.67836,858,58,0,7271.742702,1483.373518,28,23,iPhone
297,retained,72,58,89.24388135,3266,362,119,3556.819263,1681.669402,21,21,iPhone
298,retained,24,19,25.61451345,2359,78,43,1017.661538,811.2583295,9,9,iPhone
299,churned,95,77,181.2941591,812,137,166,7208.476576,2471.816919,0,0,iPhone
300,retained,71,57,229.5738286,3236,0,0,3296.5333,1971.852035,17,16,Android
301,,73,60,268.3285197,164,12,97,1811.870085,922.1091853,28,26,iPhone
302,retained,85,85,85.52710383,1910,72,86,7006.842375,4708.087354,28,20,Android
303,retained,21,20,80.20881981,76,133,60,5114.768154,1815.323806,25,23,iPhone
304,retained,82,66,218.4561729,187,0,0,3484.722205,1108.417135,3,3,Android
305,retained,333,268,340.3794914,1071,63,0,1404.494019,478.7301995,19,13,iPhone
306,churned,5,5,26.87356624,1331,36,15,8281.325372,3066.78267,11,11,iPhone
307,retained,21,17,39.64321447,3026,258,53,1609.820763,1238.472182,15,11,Android
308,retained,139,115,143.5246887,1493,0,21,11976.60698,7850.54279,16,11,iPhone
309,,95,81,140.0939743,58,151,79,5847.252244,2656.0579,30,28,iPhone
310,retained,108,87,133.4473084,2193,193,30,10652.88908,4022.185374,22,13,iPhone
311,churned,11,11,65.31764666,2227,116,25,4746.874044,3456.646203,4,4,iPhone
312,churned,16,14,192.4485012,1013,66,28,3883.098428,1991.582992,2,0,Android
313,,207,175,351.947218,422,119,17,2090.096785,779.048037,5,5,Android
314,retained,27,23,66.31426558,3154,167,0,1510.320551,1234.821636,17,17,Android
315,retained,105,85,124.6621252,3500,516,9,4020.756478,2222.235063,8,8,iPhone
316,retained,23,19,313.8435613,2926,440,0,1013.522947,618.6829728,30,24,iPhone
317,retained,64,51,103.6737581,2148,78,80,4964.022224,875.9385046,8,5,iPhone
318,retained,275,221,377.0828205,1822,0,0,3162.093616,908.6406646,15,13,iPhone
319,retained,17,16,406.0111908,2388,417,0,4111.561781,3296.698673,28,25,iPhone
320,retained,29,29,199.4914446,1406,102,0,9309.430515,3684.765813,19,14,Android
321,retained,38,31,47.36553559,2742,0,0,1636.73927,458.2839758,24,23,iPhone
322,retained,10,9,12.7841033,2027,88,0,1296.894808,899.3904551,23,22,iPhone
323,retained,115,92,187.3888153,1695,116,15,4477.163148,2212.245305,23,20,iPhone
324,churned,102,89,113.8593459,2212,202,1,5137.149641,2385.406011,11,9,Android
325,retained,63,51,229.5725919,107,0,0,1896.976879,1210.32549,19,19,iPhone
326,retained,145,119,162.9621574,1951,109,76,5748.899994,2328.054662,17,17,iPhone
327,churned,12,12,15.7444257,346,0,0,1250.275173,786.0290296,2,2,iPhone
328,retained,38,31,146.0450616,1164,298,78,1906.574774,216.5227425,1,0,Android
329,retained,8,8,338.6745844,327,190,0,1983.909549,1199.106437,14,10,iPhone
330,,121,97,203.6034511,405,16,0,1572.853676,1213.968373,0,0,iPhone
