Company,Valuation,Date Joined,Industry,City,Country/Region,Continent,Year Founded,Funding,Select Investors
Pony.ai,$9B,7/11/18,Artificial intelligence,Fremont,United States,North America,2016,$1B,"Sequoia Capital China, IDG Capital, DCM Ventures"
Nuro,$9B,2/11/19,Auto & transportation,Mountain View,United States,North America,2016,$2B,"SoftBank Group, Greylock Partners, Gaorong Capital"
Snyk,$9B,1/21/20,Cybersecurity,Boston,United States,North America,2015,$1B,"BOLDstart Ventures, Google Ventures, Accel"
Kavak,$9B,10/1/20,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,$2B,"DST Global, SoftBank Group, Mountain Nazca"
N26,$9B,1/10/19,Fintech,Berlin,Germany,Europe,2013,$2B,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Klaviyo,$9B,11/17/20,Internet software & services,Boston,United States,North America,2012,$679M,"Summit Partners, Accel, Astral Capital"
Niantic,$9B,11/24/17,Mobile & telecommunications,San Francisco,United States,North America,2015,$770M,"Nintendo, Google, Pokemon Company International, Spark Capital"
Tanium,$9B,3/31/15,Cybersecurity,Kirkland,United States,North America,2007,$775M,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Dream11,$8B,4/9/19,Internet software & services,Mumbai,India,Asia,2007,$2B,"Kaalari Capital, Tencent Holdings, Steadview Capital"
DJI Innovations,$8B,1/23/15,Hardware,Shenzhen,China,Asia,2006,$105M,"Accel Partners, Sequoia Capital"
Netskope,$8B,11/13/18,Cybersecurity,Santa Clara,United States,North America,2012,$1B,"Lightspeed Venture Partners, Social Capital, Accel"
Razorpay,$8B,10/11/20,Fintech,Bengaluru,India,Asia,2013,$742M,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
Dapper Labs,$8B,3/30/21,Fintech,Vancouver,Canada,North America,2018,$607M,"Union Square Ventures, Venrock, Andreessen Horowitz"
Lacework,$8B,1/7/21,Cybersecurity,San Jose,United States,North America,2015,$2B,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
Tipalti,$8B,10/6/20,Fintech,San Mateo,United States,North America,2010,$549M,"01 Advisors, Zeev Ventures, Group 11"
Hopin,$8B,11/10/20,Internet software & services,London,United Kingdom,Europe,2019,$1B,"Accel, Northzone Ventures, Institutional Venture Partners"
Caris Life Sciences,$8B,5/12/21,Health,Irving,United States,North America,1996,$1B,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,$8B,3/29/21,Fintech,New York,United States,North America,2019,$660M,"D1 Capital Partners, Stripe, Coatue Management"
Tempus,$8B,3/21/18,Health,Chicago,United States,North America,2015,$820M,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Fireblocks,$8B,7/27/21,Fintech,New York,United States,North America,2018,$1B,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,$8B,4/30/18,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,$2B,"Bloomberg Beta, Founders Fund, First Round Capital"
National Stock Exchange of India,$7B,7/1/20,Fintech,Mumbai,India,Asia,1998,$297M,"TA Associates, SoftBank Group, GS Growth"
Meicai,$7B,6/22/16,Mobile & telecommunications,Beijing,China,Asia,2014,$1B,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Impossible Foods,$7B,5/13/19,Consumer & retail,Redwood City,United States,North America,2011,$2B,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
CRED,$7B,4/6/21,Fintech,Bengaluru,India,Asia,2018,$922M,"Tiger Global Management, DST Global, Sequoia Capital India"
Attentive,$7B,9/23/20,Mobile & telecommunications,Hoboken,United States,North America,2016,$863M,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Ola Cabs,$7B,10/27/14,Auto & transportation,Bengaluru,India,Asia,2010,$4B,"Accel Partners, SoftBank Group, Sequoia Capital"
Rippling,$7B,8/4/20,Internet software & services,San Francisco,United States,North America,2017,$447M,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Carta,$7B,5/6/19,Fintech,San Francisco,United States,North America,2012,$1B,"Menlo Ventures, Spark Capital, Union Square Ventures"
Toss,$7B,12/9/18,Fintech,Seoul,South Korea,Asia,2013,$844M,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Ziroom,$7B,1/17/18,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,"Sequoia Capital China, Warburg Pincus, General Catalyst"
Scale AI,$7B,8/5/19,Artificial intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures"
Gong,$7B,8/12/20,Artificial intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
TripActions,$7B,11/8/18,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
1Password,$7B,7/8/21,Cybersecurity,Toronto,Canada,North America,2005,$920M,"Slack Fund, Accel, Skip Capital"
Automation Anywhere,$7B,7/2/18,Artificial intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Gemini,$7B,11/19/21,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
ConsenSys,$7B,11/17/21,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures"
Ro,$7B,7/27/20,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire"
Black Unicorn Factory,$6B,5/20/21,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures
Easyhome,$6B,2/12/18,Consumer & retail,Beijing,China,Asia,1999,$2B,"Alibaba Group, Boyu Capital, Borui Capital"
WeDoctor,$6B,9/22/15,Health,Hangzhou,China,Asia,2010,$1B,"Tencent, Morningside Group"
SVOLT,$6B,6/8/20,Auto & transportation,Changzhou,China,Asia,2018,$3B,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
Airwallex,$6B,3/25/19,Fintech,Melbourne,Australia,Oceania,2015,$802M,"DST Global, Sequoia Capital China, Tencent Holdings"
Deel,$6B,4/21/21,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator"
Mambu,$6B,1/6/21,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,"Runa Capital, Acton Capital Partners, Point Nine Capital"
Mollie,$6B,9/8/20,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures
Doctolib,$6B,3/19/19,Health,Paris,France,Europe,2013,$815M,"BPI France, Kerala Ventures, Accel"
FiveTran,$6B,6/30/20,Data management & analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst"
Postman,$6B,6/11/20,Internet software & services,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners"
Back Market,$6B,5/18/21,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,"Aglae Ventures, Eurazeo, Daphni"
Cityblock Health,$6B,12/10/20,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
DataRobot,$6B,7/29/19,Artificial intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures"
Personio,$6B,1/19/21,Internet software & services,Munich,Germany,Europe,2015,$524M,"Global Founders Capital, Nortzone Ventures, Picus Capital"
RELEX Solutions,$6B,2/17/22,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,"Blackstone, Technology Crossover Ventures, Summit Partners"
Vice Media,$6B,4/2/11,Internet software & services,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks"
Workato,$6B,1/12/21,Internet software & services,Mountain View,United States,North America,2013,$415M,"Battery Ventures, Storm Ventures, Redpoint Ventures"
Upgrade,$6B,2/12/18,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital"
Lianjia,$6B,4/7/16,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,"Tencent, Baidu, Huasheng Capital"
Hinge Health,$6B,1/6/21,Health,San Francisco,United States,North America,2015,$826M,"Atomico, Insight Partners, Coatue Management"
Lyra Health,$6B,8/25/20,Health,Burlingame,United States,North America,2015,$910M,"Greylock Partners, Venrock, Providence Ventures"
Benchling,$6B,4/14/21,Internet software & services,San Francisco,United States,North America,2012,$412M,"Thrive Capital, Benchmark, MenloVentures"
Better.com,$6B,11/10/20,Fintech,New York,United States,North America,2018,$405M,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
iCapital Network,$6B,7/27/21,Fintech,New York,United States,North America,2013,$729M,"BlackRock, Blackstone, UBS"
Wiz,$6B,3/17/21,Cybersecurity,Tel Aviv,Israel,Asia,2020,$600M,"Insight Partners, Sequoia Capital, Index Ventures"
DailyHunt,$5B,12/22/20,Internet software & services,Bengaluru,India,Asia,2007,$869M,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Howden Group Holdings,$5B,9/29/20,Other,London,United Kingdom,Europe,1994,$187M,"General Atlantic, 3i Group, Huagai Capital"
Meesho,$5B,4/5/21,Internet software & services,Bengaluru,India,Asia,2015,$1B,"Venture Highway, Sequoia Capital India, Prosus Ventures"
Meizu Technology,$5B,7/23/14,Hardware,Zhuhai,China,Asia,2003,$943M,"Telling Telecommunication Holding Co., Alibaba Group"
CloudWalk Technology,$5B,10/8/18,Artificial intelligence,Guangzhou,China,Asia,2015,$514M,"Oriza Holdings, Guangdong Technology Financial Group"
Royole Corporation,$5B,8/18/15,Hardware,Shenzhen,China,Asia,2012,$492M,"Warmsun Holding, IDG Capital Partners"
Monzo,$5B,10/31/18,Fintech,London,United Kingdom,Europe,2015,$1B,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Socure,$5B,3/16/21,Cybersecurity,New York,United States,North America,2012,$644M,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
VIPKid,$5B,8/4/16,Edtech,Beijing,China,Asia,2013,$1B,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Vinted,$5B,11/27/19,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,$562M,"Accel, Insight Partners, Burda Principal Investments"
Lendable,$5B,3/31/21,Fintech,London,United Kingdom,Europe,2014,$286M,"Ontario Teachers' Pension Plan, Goldman Sachs"
UBTECH Robotics,$5B,7/25/16,Hardware,Shenzhen,China,Asia,2012,$943M,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Anduril,$5B,9/11/19,Artificial intelligence,Irvine,United States,North America,2017,$691M,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Checkr,$5B,9/19/19,Internet software & services,San Francisco,United States,North America,2014,$559M,"Y Combinator, Accel, T. Rowe Price"
Color,$5B,1/4/21,Health,Burlingame,United States,North America,2013,$497M,"General Catalyst, Viking Global Investors, T. Rowe Price"
Dataiku,$5B,12/4/19,Internet software & services,New York,United States,North America,2013,$647M,"Alven Capital, FirstMark Capital, capitalG"
BetterUp,$5B,2/25/21,Internet software & services,San Francisco,United States,North America,2013,$567M,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Pleo,$5B,7/6/21,Fintech,Copenhagen,Denmark,Europe,2015,$428M,"Creandum, Founders, Kinnevik"
Trade Republic,$5B,5/20/21,Fintech,Berlin,Germany,Europe,2015,$996M,"Founders Fund, Accel, Creandum"
Chipone,$5B,12/16/21,Hardware,Beijing,China,Asia,2008,$1B,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
Collibra,$5B,1/29/19,Data management & analytics,Brussels,Belgium,Europe,2008,$596M,"Index Ventures, Battery Ventures, ICONIQ Capital"
Rappi,$5B,8/31/18,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,$2B,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
6Sense,$5B,3/30/21,Artificial intelligence,San Francisco,United States,North America,2013,$426M,"Venrock, Battery Ventures, Insight Partners"
Cerebral,$5B,6/10/21,Health,San Francisco,United States,North America,2020,$462M,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
Creditas,$5B,12/18/20,Fintech,Sao Paulo,Brazil,South America,2012,$824M,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital"
OneTrust,$5B,7/11/19,Internet software & services,Atlanta,United States,North America,2016,$926M,Insight Partners
QuintoAndar,$5B,9/9/19,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,$755M,"Kaszek Ventures, General Atlantic, SoftBank Group"
C6 Bank,$5B,12/2/20,Fintech,Sao Paulo,Brazil,South America,2018,$2B,Credit Suisse
Cockroach Labs,$5B,1/12/21,Data management & analytics,New York,United States,North America,2015,$633M,"Google Ventures, Benchmark, FirstMark Capital"
Hopper,$5B,3/24/21,Travel,Montreal,Canada,North America,2007,$599M,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
Icertis,$5B,7/17/19,Artificial intelligence,Bellevue,United States,North America,2009,$371M,"Eight Roads Ventures, Greycroft, Ignition Partners"
Moon Active,$5B,1/26/20,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,$425M,"Insight Partners, Andalusian Capital Partners"
OfBusiness,$5B,7/31/21,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$734M,"Matrix Partners India, Falcon Edge Capital, SoftBank Group"
Ola Electric Mobility,$5B,7/2/19,Auto & transportation,Bengaluru,India,Asia,2019,$761M,"SoftBank Group, Tiger Global Management, Matrix Partners India"
Pine Labs,$5B,1/24/20,Fintech,Noida,India,Asia,1998,$903M,"Sequoia Capital India, Temasek, PayPal Ventures"
Qonto,$5B,1/11/22,Fintech,Paris,France,Europe,2016,$704M,"Alven Capital, Valar Ventures, Tencent Holdings"
SambaNova Systems,$5B,4/13/21,Data management & analytics,Palo Alto,United States,North America,2017,$1B,"Walden International, Google Ventures, Intel Capital"
United Imaging Healthcare,$5B,9/15/17,Health,Shanghai,China,Asia,2011,$503M,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
WM Motor,$5B,3/8/19,Auto & transportation,Shanghai,China,Asia,2015,$4B,"Baidu Capital, Linear Venture, Tencent"
ZEPZ,$5B,8/23/21,Fintech,London,United Kingdom,Europe,2010,$655M,"Accel, Technology Crossover Ventures, LeapFrog Investments"
Abogen,$4B,11/29/21,Health,Suzhou,China,Asia,2019,$1B,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"
Greensill,$4B,7/16/18,Fintech,London,United Kingdom,Europe,2011,$2B,"SoftBank Group, General Atlantic"
HyalRoute,$4B,5/26/20,Mobile & telecommunications,,Singapore,Asia,2015,$263M,Kuang-Chi
Radiology Partners,$4B,2/26/18,Health,El Segundo,United States,North America,2012,$1B,"New Enterprise Associates, Starr Investment Holdings"
Yello Mobile,$4B,11/11/14,Mobile & telecommunications,Seoul,South Korea,Asia,2012,$216M,Formation 8
Turing,$4B,12/20/21,Internet software & services,Palo Alto,United States,North America,2018,$128M,"Foundation Capital, Frontier Ventures, AltaIR Capital"
Lenskart,$4B,12/20/19,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,$776M,"Chiratae Ventures, PremjiInvest, Softbank"
Kraken,$4B,6/25/19,Fintech,San Francisco,United States,North America,2011,$119M,"Bnk To The Future, Trammell Ventures, SBI Investment"
Horizon Robotics,$4B,2/27/19,Artificial intelligence,Beijing,China,Asia,2015,$2B,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
MoonPay,$4B,11/22/21,Fintech,Miami,United States,North America,2019,$555M,"New Enterprise Associates, Coatue Management, Tiger Global Management"
Celsius Network,$4B,10/12/21,Fintech,Hoboken,United States,North America,2017,$864M,"WestCap Group, Caisse de depot et placement du Quebec"
ChargeBee Technologies,$4B,4/20/21,Fintech,Walnut,United States,North America,2011,$468M,"Insight Partners, Tiger Global Management, Accel"
Coalition,$4B,3/17/21,Cybersecurity,San Francisco,United States,North America,2017,$505M,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Commure,$4B,9/16/21,Internet software & services,San Francisco,United States,North America,2017,$542M,"General Catalyst, HCA Healthcare"
Flock Safety,$4B,7/13/21,Hardware,Atlanta,United States,North America,2017,$381M,"Matrix Partners, Initialized Capital, Tiger Global Management"
Handshake,$4B,5/12/21,Internet software & services,San Francisco,United States,North America,2014,$434M,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures"
Highspot,$4B,2/22/21,Internet software & services,Seattle,United States,North America,2013,$643M,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures"
Indigo Ag,$4B,9/26/17,Artificial intelligence,Boston,United States,North America,2014,$1B,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Mirakl,$4B,9/22/20,E-commerce & direct-to-consumer,Paris,France,Europe,2011,$948M,"Elaia Partners, 83North, Felix Capital"
Rec Room,$4B,3/23/21,Internet software & services,Seattle,United States,North America,2016,$294M,"First Round Capital, Sequoia Capital, Index Ventures"
Tekion,$4B,10/21/20,Internet software & services,San Ramon,United States,North America,2016,$435M,"Airbus Ventures, Index Ventures, Advent International"
Otto Bock HealthCare,$4B,6/24/17,Health,Duderstadt,Germany,Europe,1919,$0M,EQT Partners
Outreach,$4B,4/16/19,Internet software & services,Seattle,United States,North America,2011,$489M,"Mayfield Fund, M12, Trinity Ventures"
WeRide,$4B,12/23/20,Auto & transportation,Guangzhou,China,Asia,2017,$1B,"Atop Capital, IDInvest Partners, Qiming Venture Partners"
Applied Intuition,$4B,10/22/20,Data management & analytics,Sunnyvale,United States,North America,2017,$352M,"Andreessen Horowitz, Lux Capital, General Catalyst"
Course Hero,$4B,2/12/20,Edtech,Redwood City,United States,North America,2006,$477M,"NewView Capital, Maveron, Ridge Ventures"
Relativity,$4B,3/18/21,Internet software & services,Chicago,United States,North America,2001,$125M,"Silver Lake, ICONIQ Capital"
Whoop,$4B,10/28/20,E-commerce & direct-to-consumer,Boston,United States,North America,2012,$404M,"NextView Ventures, Promus Ventures, Two Sigma Ventures"
Arctic Wolf Networks,$4B,10/22/20,Cybersecurity,Eden Prairie,United States,North America,2012,$498M,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
GOAT,$4B,9/23/20,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,$493M,"Upfront Ventures, Webb Investment Network, D1 Capital Partners"
Noom,$4B,5/24/21,Health,New York,United States,North America,2006,$657M,"Qualcomm Ventures, Samsung Ventures, Silver Lake"
Papaya Global,$4B,3/4/21,Internet software & services,New York,United States,North America,2016,$440M,"Bessemer Venture Partners, Insight Partners, New Era Ventures"
Redwood Materials,$4B,7/28/21,Other,Carson City,United States,North America,2017,$792M,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners"
