fg,3p,ft,reb,ast,stl,blk,tov,target_5yrs,total_points,efficiency
37.5,13.3,73.0,2.9,2.2,2.0,0.2,2.0,1,805.6,26.58745874587459
45.4,32.0,74.8,3.1,4.6,1.0,0.3,2.5,0,732.0,24.72972972972973
53.3,0.0,62.5,5.2,0.4,0.5,0.5,1.0,0,201.6,13.263157894736842
51.4,0.0,80.7,5.9,1.6,0.7,0.6,1.5,1,790.4,26.976109215017065
45.1,43.4,83.6,1.9,3.7,0.6,0.0,1.8,0,483.6,19.658536585365855
41.5,0.0,73.6,5.1,1.7,0.8,0.5,1.3,1,668.8000000000001,29.724444444444448
44.7,39.0,74.1,3.0,2.2,1.2,0.3,1.2,0,787.8,35.809090909090905
49.7,0.0,66.7,5.4,0.8,0.5,0.5,1.5,1,428.40000000000003,20.695652173913047
55.2,0.0,57.2,6.4,0.5,0.4,1.2,0.8,1,396.8,19.54679802955665
52.9,0.0,51.5,6.1,0.7,0.4,1.5,1.4,1,572.0,28.177339901477833
41.9,4.3,80.6,2.0,3.9,1.0,0.3,1.7,1,606.8000000000001,30.95918367346939
52.8,0.0,66.9,5.7,0.7,0.8,1.1,1.8,1,436.79999999999995,23.11111111111111
30.2,18.5,91.2,1.4,3.1,0.6,0.2,1.0,0,146.2,10.910447761194028
40.0,35.7,83.3,2.0,1.1,0.8,0.1,1.1,1,357.0,19.193548387096772
37.0,14.5,74.1,1.7,3.8,0.7,0.1,1.2,1,451.0,24.510869565217394
39.0,23.1,74.5,2.0,3.2,1.1,0.1,1.5,1,448.0,26.352941176470587
52.9,0.0,69.1,4.2,0.4,0.6,0.8,1.1,1,592.0,35.02958579881657
46.7,21.4,81.0,3.8,0.4,0.3,0.6,0.9,1,431.2,28.556291390728475
41.7,37.5,76.1,1.5,1.5,0.7,0.2,0.8,0,225.49999999999997,15.134228187919462
40.7,9.5,80.4,1.7,2.1,0.9,0.0,1.3,0,244.79999999999998,16.54054054054054
39.9,27.0,87.5,1.5,2.8,0.9,0.0,1.4,0,255.0,17.586206896551722
40.2,36.7,76.9,2.1,0.8,0.3,0.2,0.7,0,198.9,15.06818181818182
42.3,0.0,80.3,1.3,1.9,0.6,0.1,1.3,1,331.2,26.709677419354836
45.2,100.0,82.1,2.7,0.6,0.5,0.3,0.6,1,248.4,21.050847457627118
56.8,0.0,66.1,3.4,0.3,0.6,0.7,0.8,1,307.8,27.238938053097346
30.3,36.6,66.7,0.7,1.5,0.7,0.1,1.3,0,98.39999999999999,9.283018867924527
41.5,19.2,75.4,1.1,1.8,0.6,0.1,1.0,1,204.99999999999997,21.354166666666664
45.6,0.0,65.5,1.2,1.1,0.6,0.2,0.8,1,190.4,19.833333333333336
38.8,29.2,75.6,0.7,1.4,0.4,0.1,1.0,0,247.9,27.544444444444444
38.0,14.3,65.9,0.8,1.6,0.7,0.1,1.0,1,125.0,14.367816091954024
47.5,0.0,75.0,1.5,0.3,0.2,0.2,0.6,1,121.50000000000001,14.294117647058826
36.8,22.2,82.6,0.9,0.7,0.3,0.1,0.6,0,129.2,15.75609756097561
43.9,0.0,52.5,1.9,0.3,0.1,0.1,0.8,0,117.6,14.341463414634147
45.6,18.8,74.4,1.3,0.6,0.2,0.1,0.5,0,172.8,21.07317073170732
39.2,20.0,53.6,1.2,0.6,0.4,0.2,0.8,0,140.0,19.178082191780824
44.3,18.2,81.0,1.1,0.3,0.2,0.1,0.5,0,103.6,14.191780821917808
43.1,27.0,52.6,0.8,0.5,0.2,0.0,0.3,0,119.60000000000001,17.850746268656717
38.4,43.3,83.3,0.8,0.3,0.1,0.0,0.3,0,112.2,17.53125
38.0,0.0,75.6,1.2,0.3,0.1,0.1,0.5,0,88.0,16.60377358490566
37.8,0.0,37.5,1.0,0.4,0.3,0.2,0.3,0,30.400000000000002,6.333333333333334
35.3,11.8,66.7,0.6,0.6,0.1,0.0,0.5,0,46.800000000000004,10.88372093023256
42.2,27.3,73.6,8.8,4.0,1.4,1.1,2.9,1,1422.0,37.718832891246684
30.4,20.4,74.5,1.2,0.5,0.7,0.1,0.7,0,187.0,14.274809160305344
46.7,34.2,73.1,10.3,2.2,1.0,1.3,2.9,1,1361.6,38.68181818181817
40.6,36.5,77.0,2.8,4.0,1.3,0.2,2.5,0,915.2,27.31940298507463
42.5,37.4,75.0,2.9,1.6,0.8,0.3,1.6,1,1287.3999999999999,45.171929824561396
45.0,7.7,71.1,3.0,6.4,2.0,0.2,2.2,1,590.4,21.547445255474454
51.2,0.0,72.2,7.9,0.3,0.6,1.5,0.9,1,575.1,22.204633204633208
44.1,13.3,78.2,3.4,1.4,0.9,0.3,1.9,1,912.0,35.90551181102362
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,0,713.4,30.10126582278481
46.4,20.6,87.3,2.2,4.2,1.0,0.2,1.7,1,713.4,30.10126582278481
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,0,93.1,10.119565217391305
32.7,21.4,64.9,0.8,1.7,0.5,0.1,0.6,1,93.1,10.119565217391305
45.0,14.3,83.5,3.2,3.7,1.3,0.5,2.0,1,902.0,38.05907172995781
50.8,0.0,63.6,5.1,0.9,0.6,1.9,1.3,1,524.4,23.203539823008846
41.3,24.0,85.7,1.8,3.1,0.8,0.1,1.6,1,944.6999999999999,41.986666666666665
43.9,9.7,70.7,2.1,2.5,0.4,0.2,1.6,0,616.0,29.90291262135922
42.8,29.9,81.6,3.5,1.8,0.5,0.3,1.5,1,696.6,33.98048780487805
49.7,40.0,84.3,3.3,1.4,0.6,0.3,0.9,1,237.6,12.184615384615384
41.7,0.0,55.0,5.6,0.4,0.6,1.2,0.9,0,307.4,15.927461139896371
41.9,25.0,79.6,1.7,1.3,0.3,0.1,1.0,0,504.0,29.822485207100595
41.2,17.6,74.7,1.9,2.8,0.8,0.1,1.2,1,401.8,24.35151515151515
38.0,29.2,77.3,1.9,1.2,0.5,0.1,1.2,0,427.8,26.40740740740741
42.5,0.0,67.2,4.3,0.4,0.2,0.3,1.4,0,483.6,30.03726708074534
48.7,0.0,66.2,4.8,0.5,0.3,0.3,0.7,1,401.5,24.93788819875776
49.2,0.0,63.2,5.2,0.3,0.5,0.4,1.0,1,392.2,24.360248447204967
42.1,29.8,63.0,2.9,0.8,0.6,0.3,0.9,0,509.2,33.064935064935064
46.5,0.0,71.2,4.2,0.6,0.6,0.5,0.8,1,313.5,21.040268456375838
44.6,18.2,58.8,1.5,2.8,0.7,0.2,1.6,0,263.2,18.405594405594403
44.1,40.0,72.2,2.1,0.9,0.4,0.1,1.0,1,299.7,22.03676470588235
46.5,0.0,64.4,2.7,0.6,0.2,0.2,1.0,0,266.59999999999997,20.045112781954884
38.4,16.1,80.5,1.0,1.3,0.5,0.1,0.9,0,241.79999999999998,19.343999999999998
43.8,11.8,68.4,2.0,0.8,0.6,0.2,0.8,0,351.90000000000003,29.571428571428573
41.3,0.0,55.6,1.4,1.0,0.4,0.0,0.8,1,140.4,11.898305084745763
41.6,25.0,65.2,1.9,0.7,0.5,0.2,0.3,1,229.4,19.77586206896552
48.7,16.7,66.3,2.4,0.6,0.3,0.1,1.1,1,516.5999999999999,44.53448275862068
34.8,27.3,64.3,2.2,0.8,0.5,0.2,0.3,0,72.60000000000001,6.722222222222222
46.0,0.0,68.9,2.8,0.7,0.2,0.4,0.8,1,237.60000000000002,21.21428571428572
40.8,27.8,73.2,1.1,1.2,0.5,0.1,0.7,0,277.4,25.218181818181815
40.4,0.0,66.7,3.0,0.2,0.3,0.3,0.7,0,54.0,4.954128440366972
44.1,0.0,70.2,1.1,2.1,0.4,0.2,1.1,1,236.8,21.724770642201836
41.5,0.0,80.0,0.8,1.9,0.5,0.1,0.8,0,190.4,17.962264150943398
39.1,0.0,69.6,1.2,1.0,0.3,0.1,0.8,0,204.8,19.320754716981135
41.8,33.3,90.5,0.8,1.9,0.5,0.0,0.6,1,210.8,20.871287128712872
40.3,37.5,75.8,1.4,0.7,0.3,0.0,0.5,0,136.29999999999998,13.629999999999999
44.7,50.0,66.1,2.1,0.3,0.2,0.1,0.8,1,182.0,18.57142857142857
40.0,40.0,77.8,1.0,0.4,0.3,0.2,0.5,0,236.8,24.926315789473687
36.7,0.0,44.4,1.9,0.5,0.1,0.1,0.7,0,98.6,9.129629629629628
43.9,0.0,55.0,2.9,0.4,0.1,0.7,0.8,1,159.6,16.8
45.8,15.8,84.8,1.3,0.7,0.2,0.0,1.0,1,225.0,24.193548387096772
45.5,0.0,65.3,1.8,0.2,0.2,0.7,0.3,1,145.6,19.945205479452053
52.0,0.0,68.0,1.7,0.4,0.1,0.4,0.6,0,217.5,31.071428571428573
42.0,24.0,48.0,1.7,0.5,0.4,0.3,0.3,1,85.80000000000001,12.61764705882353
51.0,50.0,71.4,1.9,0.3,0.2,0.3,0.5,1,127.5,19.31818181818182
37.3,0.0,54.5,1.5,0.1,0.1,0.1,0.1,0,67.60000000000001,10.903225806451614
51.3,0.0,90.5,1.2,0.2,0.1,0.1,0.1,1,58.5,10.086206896551724
53.1,0.0,73.2,12.0,2.0,1.7,3.9,3.1,1,1992.6000000000001,54.442622950819676
35.3,25.8,55.2,1.4,0.4,0.3,0.1,0.2,0,105.39999999999999,9.850467289719626
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,0,1161.3,34.459940652818986
47.1,27.4,76.4,3.9,8.7,2.1,0.1,3.3,1,1161.3,34.459940652818986
44.0,0.0,66.4,8.4,1.2,1.1,0.7,2.1,1,910.1999999999999,27.08928571428571
46.1,27.7,58.9,2.6,6.8,1.6,0.3,1.7,1,934.8000000000001,29.676190476190477
49.4,16.1,68.7,2.5,7.6,1.8,0.1,3.0,1,1158.3,37.97704918032787
44.6,0.0,76.8,5.8,1.1,0.8,0.7,1.2,1,1016.0,33.64238410596027
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,1,1047.2,34.906666666666666
43.9,24.6,73.4,4.6,1.8,0.9,0.3,1.5,0,1047.2,34.906666666666666
37.1,22.5,77.8,2.8,4.2,1.6,0.3,2.2,1,505.0,19.960474308300395
48.1,11.1,86.6,3.7,1.9,0.6,0.2,1.4,1,810.0,32.27091633466135
50.7,30.0,71.9,3.1,1.8,0.9,0.4,1.9,1,729.8000000000001,31.7304347826087
44.9,13.3,57.4,2.9,0.3,0.2,0.4,0.4,0,185.0,17.452830188679247
49.4,5.9,70.5,3.9,1.5,0.8,0.4,1.7,1,931.5,42.34090909090909
50.4,0.0,72.7,4.7,1.1,0.5,0.7,1.4,1,729.8000000000001,33.63133640552996
40.5,39.9,80.9,1.6,2.5,0.7,0.0,1.5,1,785.6999999999999,39.089552238805965
41.1,13.3,70.5,2.3,0.6,0.6,0.2,0.7,0,434.7,22.178571428571427
39.7,27.3,55.0,3.8,0.9,0.7,0.7,1.6,1,746.1999999999999,39.06806282722513
47.9,0.0,66.7,3.4,1.0,0.4,0.2,1.1,0,335.5,18.63888888888889
47.0,0.0,76.2,3.1,0.7,0.4,0.3,0.9,1,547.5,30.586592178770953
49.7,0.0,72.2,5.0,0.6,0.3,0.2,0.7,0,626.4,36.84705882352941
48.6,0.0,74.7,1.9,1.5,0.7,0.2,1.2,1,632.0,37.61904761904762
39.5,38.5,69.2,3.4,0.2,0.2,0.4,0.4,0,82.5,7.9326923076923075
48.5,50.0,88.5,1.3,2.5,0.6,0.1,1.0,1,453.59999999999997,28.52830188679245
46.6,0.0,62.1,3.6,0.4,0.4,0.4,1.1,1,296.1,21.150000000000002
47.9,16.7,73.6,4.3,0.3,0.6,0.9,1.3,1,526.5,38.15217391304348
43.7,0.0,64.3,2.8,0.8,0.2,0.2,0.8,1,323.3,24.492424242424246
40.6,14.3,68.0,1.2,1.9,0.3,0.1,0.8,0,197.79999999999998,15.215384615384615
36.9,7.1,56.2,3.1,0.4,0.4,0.1,0.8,1,236.5,18.333333333333332
54.7,25.0,67.1,2.1,0.6,0.6,0.2,0.5,0,241.89999999999998,19.50806451612903
45.9,0.0,77.7,2.1,0.7,0.5,0.1,1.2,1,389.40000000000003,34.46017699115044
40.5,26.4,70.3,6.2,6.3,1.9,0.6,3.5,0,1169.0,33.88405797101449
42.9,28.6,66.0,0.7,2.3,0.3,0.0,1.1,0,269.5,24.5
29.8,23.3,69.4,0.9,1.8,0.5,0.1,1.4,0,144.29999999999998,13.238532110091741
38.4,18.8,66.1,0.9,2.5,0.5,0.0,1.1,1,207.70000000000002,20.564356435643568
43.0,0.0,50.0,2.9,0.5,0.2,0.3,0.4,0,79.8,8.142857142857142
47.3,35.7,67.0,1.5,0.9,0.6,0.0,0.8,0,260.0,26.530612244897956
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,0,325.0,34.21052631578947
47.6,7.1,82.8,1.5,1.2,0.1,0.0,0.8,1,325.0,34.21052631578947
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,0,565.8000000000001,26.688679245283023
54.2,0.0,48.5,5.9,0.8,0.7,0.6,1.3,1,565.8000000000001,26.688679245283023
31.3,32.5,78.9,1.0,1.0,0.4,0.1,0.8,1,118.80000000000001,12.638297872340427
47.5,0.0,61.5,1.4,0.6,0.5,0.2,0.7,0,154.79999999999998,17.590909090909086
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,174.0,20.0
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,1,174.0,20.0
44.4,0.0,69.7,1.2,1.7,0.6,0.1,0.6,0,174.0,20.0
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,1157.3,38.069078947368425
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,1,1157.3,38.069078947368425
49.5,0.0,72.5,6.5,1.5,1.0,1.3,2.1,0,1157.3,38.069078947368425
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,119.0,13.837209302325581
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,1,119.0,13.837209302325581
39.2,31.9,54.5,0.8,0.6,0.3,0.2,0.8,0,119.0,13.837209302325581
49.4,0.0,60.9,2.4,0.4,0.2,0.1,0.9,0,202.5,24.397590361445783
38.0,33.0,90.3,3.0,5.7,0.6,0.1,1.9,0,896.0,27.73993808049536
36.8,25.0,61.5,1.2,0.4,0.3,0.1,0.4,0,114.0,14.805194805194805
39.3,27.3,81.3,1.3,0.3,0.2,0.1,0.6,1,135.20000000000002,18.520547945205482
55.3,0.0,46.4,2.1,0.1,0.2,0.3,0.6,1,96.89999999999999,14.907692307692306
43.5,40.0,88.9,0.7,0.3,0.2,0.2,0.6,0,115.5,18.629032258064516
23.8,16.7,76.5,0.6,1.3,0.3,0.0,0.5,0,52.800000000000004,9.263157894736842
33.3,0.0,50.0,1.1,0.1,0.1,0.3,0.1,0,14.7,2.9999999999999996
33.8,28.6,80.0,0.6,0.3,0.1,0.0,0.6,0,72.0,16.74418604651163
37.5,25.0,69.2,1.1,0.0,0.1,0.4,0.3,0,46.2,11.26829268292683
46.8,36.7,81.0,5.9,4.2,1.0,0.2,3.4,1,1738.0,50.52325581395349
49.8,19.0,77.5,5.1,4.6,1.9,0.8,3.2,1,1506.6000000000001,44.57396449704143
41.9,32.7,78.0,4.1,4.1,1.6,0.5,3.2,0,1104.0,35.4983922829582
45.5,42.8,83.1,2.8,3.0,1.5,0.5,2.0,1,1192.8999999999999,36.59202453987729
42.5,27.0,74.6,3.3,4.4,1.8,0.3,3.1,1,1090.2,36.70707070707071
48.6,0.0,74.9,6.7,1.8,1.5,0.6,2.5,1,975.8000000000001,32.85521885521886
41.4,31.4,79.5,2.5,2.3,0.9,0.3,1.5,1,1267.5,42.820945945945944
43.3,0.0,82.6,4.6,5.8,0.9,0.3,2.3,1,705.1999999999999,25.096085409252666
45.7,36.6,71.7,5.2,1.6,1.3,0.8,2.5,1,1071.6,38.826086956521735
43.5,22.7,73.5,3.4,7.1,2.0,0.1,3.6,1,844.9,31.17712177121771
43.2,24.8,74.5,2.6,3.8,1.1,0.1,2.3,1,924.3,35.41379310344827
37.6,32.0,80.4,2.9,1.0,0.6,0.2,1.2,0,721.6,27.02621722846442
41.9,32.9,61.4,3.9,2.4,1.2,0.3,0.9,1,464.4,18.501992031872508
42.0,25.0,67.3,5.2,2.1,0.7,0.5,1.9,0,440.0,19.81981981981982
45.0,40.6,78.9,3.1,1.3,0.6,0.3,1.3,0,704.0,32.0
49.0,0.0,80.3,2.2,3.4,1.1,0.1,1.6,0,454.40000000000003,21.53554502369668
41.7,14.3,69.5,2.5,4.3,1.2,0.1,2.3,0,205.20000000000002,10.108374384236454
50.1,0.0,57.1,4.5,1.0,1.0,0.3,1.2,0,481.0,26.0
47.5,30.0,85.0,2.1,2.6,0.8,0.2,1.0,1,568.0,29.128205128205128
46.7,20.0,69.2,1.5,3.7,0.8,0.1,1.7,0,217.6,11.27461139896373
43.7,20.8,78.3,3.2,1.0,0.6,0.1,1.7,0,753.3000000000001,39.64736842105263
43.4,22.5,78.6,2.3,1.5,0.5,0.1,1.6,1,920.0,50.549450549450555
46.4,0.0,59.6,2.3,1.1,0.5,0.4,0.4,1,397.59999999999997,23.666666666666664
46.7,32.2,74.5,2.0,3.9,1.2,0.0,1.8,1,720.9,42.910714285714285
42.0,35.9,88.4,1.1,3.7,0.8,0.0,0.8,1,426.40000000000003,25.53293413173653
44.3,0.0,57.8,2.1,0.9,0.7,0.1,1.4,0,122.39999999999999,8.326530612244898
48.8,0.0,68.9,3.6,0.3,0.2,0.2,0.7,0,357.5,24.655172413793103
48.6,0.0,58.0,3.2,0.6,0.4,0.1,0.7,1,280.0,19.58041958041958
43.1,0.0,69.2,1.9,0.2,0.1,0.1,0.3,1,57.6,8.22857142857143
44.5,0.0,72.5,2.2,0.8,0.4,0.3,0.9,0,244.79999999999998,18.268656716417908
54.5,0.0,69.9,2.7,0.2,0.1,0.3,0.9,1,322.5,31.009615384615383
42.6,0.0,38.4,3.7,1.1,0.4,0.1,0.9,1,259.2,25.411764705882355
53.7,25.0,61.5,2.1,0.3,0.3,0.5,0.6,1,254.2,25.676767676767675
30.1,7.1,78.1,1.1,2.6,0.3,0.1,1.1,1,139.4,14.673684210526316
36.6,29.4,60.9,0.5,2.2,0.5,0.1,1.0,0,116.60000000000001,12.404255319148936
40.2,16.7,83.3,0.9,2.3,0.5,0.2,1.3,0,136.29999999999998,14.499999999999998
40.8,38.5,65.4,1.1,0.8,0.6,0.1,1.1,1,147.6,16.77272727272727
51.3,0.0,65.0,2.4,0.1,0.3,0.8,0.5,1,161.20000000000002,18.964705882352945
49.0,0.0,67.4,1.3,0.5,0.5,0.2,0.5,0,129.5,15.602409638554215
49.4,0.0,50.0,2.6,0.4,0.3,0.3,0.5,1,186.0,22.962962962962965
40.4,25.0,81.3,0.9,1.5,0.5,0.1,0.7,1,112.2,14.025
43.0,10.0,69.0,1.3,0.5,0.3,0.1,0.5,1,168.0,21.265822784810126
48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,1,125.39999999999999,16.076923076923077
48.0,10.0,82.4,1.1,0.4,0.4,0.1,0.4,0,125.39999999999999,16.076923076923077
36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,1,188.1,18.81
36.9,30.8,63.8,2.2,0.8,0.7,0.4,1.2,0,188.1,18.81
41.8,24.4,60.0,1.8,0.8,1.0,0.4,1.1,0,127.19999999999999,7.310344827586206
46.0,40.1,71.2,3.2,0.9,0.7,0.2,0.8,0,462.0,20.442477876106192
41.5,0.0,73.8,1.3,0.6,0.3,0.0,0.5,0,180.0,24.65753424657534
36.4,22.2,66.0,0.6,1.4,0.3,0.1,0.9,1,127.4,17.45205479452055
50.4,40.0,70.6,1.1,0.4,0.3,0.1,0.7,0,151.79999999999998,22.323529411764703
34.9,11.1,56.3,0.6,1.7,0.5,0.1,0.4,1,68.8,10.117647058823529
31.9,20.0,77.3,0.7,1.1,0.3,0.1,0.8,0,66.5,11.083333333333334
47.4,0.0,78.3,1.4,0.2,0.2,0.0,0.5,1,112.2,19.684210526315788
42.2,0.0,68.2,1.0,0.2,0.2,0.1,0.3,1,98.39999999999999,17.57142857142857
43.2,25.4,77.4,4.8,10.6,2.5,0.1,3.1,1,1115.2,28.161616161616163
47.7,30.8,81.9,2.3,7.1,1.5,0.1,3.0,1,841.8000000000001,23.64606741573034
43.7,29.0,65.6,2.6,3.2,0.6,0.3,1.0,0,417.6,18.47787610619469
47.5,0.0,67.9,7.9,1.3,1.1,0.5,2.2,1,814.0,24.74164133738602
43.9,33.3,87.9,3.4,6.4,1.7,0.1,2.5,1,830.8000000000001,26.208201892744484
40.7,20.0,83.3,4.5,2.3,0.9,0.4,1.8,1,319.2,11.778597785977858
35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1,364.0,14.857142857142858
35.6,22.4,72.7,3.4,1.7,0.8,0.6,1.8,1,364.0,14.857142857142858
50.1,20.0,60.4,6.3,1.0,0.7,1.5,1.7,1,959.4,39.64462809917355
46.1,20.8,83.9,2.4,5.5,1.3,0.3,1.8,1,736.0,30.666666666666668
50.1,0.0,62.6,5.5,1.1,0.6,0.7,1.1,1,623.7,27.597345132743364
48.8,35.5,80.1,2.3,1.6,0.7,0.2,1.2,1,820.0,36.60714285714286
40.4,26.7,74.0,2.3,1.9,0.9,0.4,1.9,1,585.6,26.142857142857146
48.2,0.0,51.2,4.0,1.2,0.7,0.5,1.6,1,567.6,26.156682027649772
42.3,33.8,81.5,3.7,1.6,0.5,0.8,0.8,0,472.0,21.26126126126126
46.3,17.4,57.6,3.8,2.1,1.1,0.7,1.7,1,624.1,29.86124401913876
49.1,36.7,77.2,4.0,1.3,0.8,0.8,1.3,1,697.0,33.50961538461539
39.0,18.8,78.4,1.7,5.1,1.6,0.0,1.3,1,395.0,19.174757281553397
42.8,0.0,72.5,4.2,1.4,0.7,0.3,1.4,1,631.8,30.81951219512195
39.1,38.5,72.5,1.1,2.9,1.0,0.1,1.0,0,124.80000000000001,7.131428571428572
45.9,0.0,87.1,4.5,0.8,0.3,0.1,0.9,1,222.3,13.472727272727273
43.0,0.0,70.7,2.9,0.9,0.5,0.9,1.6,0,420.0,28.0
53.2,0.0,64.0,3.4,0.5,0.4,0.3,0.7,1,284.40000000000003,19.479452054794525
37.4,24.0,71.9,1.0,3.1,0.3,0.1,1.0,0,156.60000000000002,11.954198473282444
44.6,0.0,72.2,0.6,1.2,0.4,0.0,1.0,0,259.7,21.823529411764703
49.6,23.1,80.6,2.0,0.7,0.3,0.6,0.8,1,294.0,28.54368932038835
42.2,20.0,89.7,0.7,1.5,0.1,0.1,0.6,0,152.0,16.0
47.4,0.0,56.3,2.6,0.4,0.2,0.3,0.6,1,170.5,18.333333333333332
47.0,0.0,73.5,0.7,1.7,0.6,0.0,0.9,0,147.5,16.95402298850575
40.4,0.0,81.0,0.6,2.0,0.4,0.0,0.9,0,105.6,12.722891566265059
46.6,0.0,70.2,1.3,0.5,0.3,0.3,0.6,1,220.5,26.566265060240962
38.5,0.0,44.4,1.9,0.4,0.2,0.3,0.5,0,48.400000000000006,6.36842105263158
36.7,0.0,66.7,1.7,0.5,0.1,0.3,0.6,0,77.89999999999999,11.803030303030303
37.5,28.6,61.5,0.4,0.6,0.2,0.0,0.5,1,46.800000000000004,7.42857142857143
37.7,37.3,74.4,1.8,2.7,0.5,0.2,0.9,0,279.0,14.020100502512564
31.0,0.0,60.4,1.0,0.3,0.3,0.1,0.4,0,85.0,13.709677419354838
45.5,21.3,68.4,4.8,4.8,2.5,1.0,4.2,1,1877.8,50.20855614973262
46.8,35.5,74.7,8.3,3.6,1.1,0.2,2.6,1,1541.6000000000001,42.82222222222222
48.5,0.0,74.5,7.9,1.9,0.7,2.1,1.7,1,1168.0,34.45427728613569
53.8,0.0,69.6,8.1,3.8,0.6,0.8,3.1,1,1256.0,37.2700296735905
47.5,0.0,61.7,4.7,8.2,1.8,0.6,2.2,1,376.3,13.535971223021583
49.1,0.0,75.7,5.0,1.1,0.7,0.7,1.1,1,707.2,27.952569169960476
53.1,0.0,64.9,4.9,1.7,0.6,0.6,2.4,0,1001.7,39.75
45.4,22.2,64.6,4.7,2.4,1.6,0.4,1.6,1,717.5999999999999,31.61233480176211
39.6,31.9,77.0,2.0,0.7,0.9,0.1,0.3,0,472.0,23.838383838383837
45.5,20.0,72.8,4.7,1.3,0.6,0.8,1.1,1,680.0,31.050228310502284
43.0,25.0,74.1,2.0,2.0,1.2,0.3,1.7,1,677.6,32.42105263157895
43.7,29.8,80.1,2.1,3.6,0.8,0.0,1.5,1,834.3000000000001,40.11057692307693
39.7,0.0,58.1,4.9,1.1,0.4,0.7,1.7,1,335.0,17.091836734693878
45.4,27.9,77.7,2.3,4.5,0.9,0.1,1.9,1,424.0,21.743589743589745
46.7,33.3,67.6,7.1,0.7,0.8,1.1,1.4,1,562.5,30.080213903743317
40.8,32.9,83.3,1.7,3.0,0.6,0.1,1.6,1,462.3,25.4010989010989
56.2,0.0,61.4,3.6,0.7,0.5,1.5,0.9,1,434.59999999999997,24.41573033707865
49.0,22.2,66.3,3.3,1.2,0.3,0.4,0.9,1,505.6,29.22543352601156
58.1,0.0,72.7,4.2,0.5,0.5,0.5,1.4,1,448.79999999999995,29.72185430463576
54.5,0.0,58.7,4.3,0.7,0.5,0.6,1.2,1,500.5,33.36666666666667
45.6,8.3,74.3,3.5,1.3,0.3,0.2,1.0,1,448.79999999999995,30.32432432432432
47.6,0.0,63.2,3.5,0.5,0.3,0.4,1.1,1,400.40000000000003,28.0
47.1,0.0,69.3,2.9,0.8,0.6,0.2,0.7,1,290.40000000000003,20.450704225352116
