VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,12/30/2017 11:52:44 PM,12/30/2017 11:58:57 PM,1,1.1,1,N,166,238,2,6.5,0.5,0.5,0,0,0.3,7.8
2,10/11/2017 12:34,10/11/2017 13:22,1,12.3,5,N,138,265,1,68.25,0,0,12,16.26,0.3,96.81
2,1/6/2017 20:12,1/6/2017 20:18,1,0.52,1,N,90,249,1,5.5,0.5,0.5,1,0,0.3,7.8
1,06/27/2017 12:08:22 AM,06/27/2017 12:13:45 AM,1,1.7,1,N,162,263,1,7,0.5,0.5,2.05,0,0.3,10.35
1,02/13/2017 10:29:33 AM,02/13/2017 10:34:11 AM,1,0.9,1,N,237,237,1,5.5,0,0.5,1.25,0,0.3,7.55
2,01/14/2017 7:58:42 PM,01/14/2017 8:05:59 PM,1,1.72,1,N,43,141,1,8,0.5,0.5,2.79,0,0.3,12.09
1,11/4/2017 1:27,11/4/2017 1:44,1,2.7,1,N,50,263,1,13,0.5,0.5,2.85,0,0.3,17.15
2,11/24/2017 10:48:13 AM,11/24/2017 10:52:57 AM,1,0.85,1,N,237,161,2,5.5,0,0.5,0,0,0.3,6.3
1,11/22/2017 10:24:17 AM,11/22/2017 10:38:52 AM,1,2.3,1,N,162,113,1,11,0,0.5,2.35,0,0.3,14.15
2,11/6/2017 20:30,11/7/2017 0:00,1,30.83,1,N,132,23,1,80,0.5,0.5,18.56,11.52,0.3,111.38
1,8/9/2017 21:01,8/9/2017 21:14,1,2.3,1,N,163,234,1,10.5,0.5,0.5,1.77,0,0.3,13.57
1,4/12/2017 11:07,4/12/2017 11:19,4,1.5,1,N,239,43,2,9,0,0.5,0,0,0.3,9.8
2,07/26/2017 11:26:50 PM,07/26/2017 11:55:49 PM,1,14.32,1,N,132,149,2,40.5,0.5,0.5,0,0,0.3,41.8
1,10/26/2017 7:43:07 PM,10/26/2017 8:06:02 PM,1,2.9,1,N,230,238,1,15.5,1,0.5,3.45,0,0.3,20.75
1,3/4/2017 18:19,3/4/2017 18:32,1,1.7,1,N,236,161,1,10.5,0,0.5,1.7,0,0.3,13
2,11/5/2017 1:35,11/5/2017 1:43,5,2.69,1,N,24,48,2,9.5,0.5,0.5,0,0,0.3,10.8
1,02/24/2017 11:24:50 AM,02/24/2017 11:29:18 AM,1,0.6,1,N,142,142,2,5,0,0.5,0,0,0.3,5.8
2,02/23/2017 8:04:57 AM,02/23/2017 8:18:48 AM,1,2.11,1,N,140,161,1,11.5,0,0.5,2.46,0,0.3,14.76
1,2/12/2017 18:45,2/12/2017 18:48,4,0.4,1,N,142,143,1,4,0,0.5,0.72,0,0.3,5.52
2,12/8/2017 12:21,12/8/2017 12:30,1,1.28,1,N,238,166,1,7.5,0,0.5,5,0,0.3,13.3
2,09/15/2017 7:09:51 PM,09/15/2017 7:23:06 PM,3,1.23,1,N,90,79,1,9.5,1,0.5,2.26,0,0.3,13.56
1,02/25/2017 7:41:32 AM,02/25/2017 7:50:26 AM,1,2,1,N,170,113,1,9,0,0.5,1.95,0,0.3,11.75
2,12/8/2017 7:59,12/8/2017 8:15,1,4.52,1,N,116,239,1,16.5,0,0.5,2,0,0.3,19.3
2,04/26/2017 11:18:27 AM,04/26/2017 11:24:59 AM,2,1.12,1,N,234,211,1,6.5,0,0.5,1.82,0,0.3,9.12
2,02/15/2017 5:30:24 PM,02/15/2017 5:35:24 PM,1,0.59,1,N,249,113,1,5,1,0.5,1.36,0,0.3,8.16
1,08/14/2017 5:15:32 PM,08/14/2017 5:25:28 PM,1,1.5,1,N,239,230,1,8.5,1,0.5,2.55,0,0.3,12.85
2,9/5/2017 15:10,9/5/2017 15:25,4,1.71,1,N,162,186,2,10.5,0,0.5,0,0,0.3,11.3
2,01/13/2017 2:37:24 AM,01/13/2017 3:17:34 AM,4,8.69,1,N,246,231,1,31.5,0.5,0.5,6.56,0,0.3,39.36
2,3/11/2017 4:46,3/11/2017 4:57,6,2.69,1,N,79,88,2,11,0.5,0.5,0,0,0.3,12.3
2,04/27/2017 7:26:57 AM,04/27/2017 7:28:21 AM,1,0.42,1,N,234,107,1,3.5,0,0.5,0.86,0,0.3,5.16
2,07/13/2017 8:23:29 AM,07/13/2017 8:47:40 AM,2,7.37,1,N,263,88,2,25.5,0,0.5,0,0,0.3,26.3
1,4/4/2017 16:22,4/4/2017 16:35,1,2.2,1,N,163,90,2,10.5,1,0.5,0,0,0.3,12.3
1,1/5/2017 14:56,1/5/2017 15:24,2,2.6,1,N,100,237,2,17.5,0,0.5,0,0,0.3,18.3
2,03/28/2017 7:10:03 PM,03/28/2017 7:13:20 PM,1,0.8,1,N,151,239,1,4.5,1,0.5,1.26,0,0.3,7.56
1,9/1/2017 9:37,9/1/2017 10:00,1,2.9,1,N,24,48,2,16,0,0.5,0,0,0.3,16.8
2,08/17/2017 10:06:12 PM,08/17/2017 10:32:06 PM,1,11.07,1,N,138,97,1,32.5,0.5,0.5,6.76,0,0.3,40.56
1,2/10/2017 11:47,2/10/2017 12:09,1,2.7,1,N,238,161,1,15.5,0,0.5,4.05,0,0.3,20.35
2,3/7/2017 20:19,3/7/2017 20:29,2,2.51,1,N,229,146,1,10,0.5,0.5,3.39,0,0.3,14.69
2,03/18/2017 12:12:18 PM,03/18/2017 12:20:32 PM,1,0.78,1,N,230,50,2,7,0,0.5,0,0,0.3,7.8
2,3/3/2017 8:02,3/3/2017 8:05,1,0.85,1,N,164,170,1,4.5,0,0.5,1.59,0,0.3,6.89
2,04/26/2017 6:08:41 PM,04/26/2017 6:11:08 PM,5,0.38,1,N,236,236,1,4,1,0.5,1.16,0,0.3,6.96
2,04/21/2017 3:08:21 PM,04/21/2017 3:18:09 PM,1,1.15,1,N,163,100,1,8,0,0.5,1.76,0,0.3,10.56
2,2/4/2017 18:04,2/4/2017 18:19,1,7.16,1,N,141,243,2,21,0,0.5,0,0,0.3,21.8
2,10/5/2017 9:39,10/5/2017 9:42,6,0.22,3,N,48,48,2,21.5,0,0,0,0,0.3,21.8
1,03/17/2017 9:17:05 AM,03/17/2017 9:21:34 AM,1,0.7,1,N,237,236,1,5,0,0.5,1.15,0,0.3,6.95
2,12/31/2017 1:03:12 PM,12/31/2017 1:06:52 PM,6,0.71,1,N,161,229,2,4.5,0,0.5,0,0,0.3,5.3
2,12/12/2017 11:12,12/12/2017 12:01,1,3.1,1,N,186,263,1,28,0,0.5,5.76,0,0.3,34.56
2,9/3/2017 23:15,9/3/2017 23:31,2,2.96,1,N,161,148,1,13,0.5,0.5,2.86,0,0.3,17.16
1,12/13/2017 7:06:10 AM,12/13/2017 7:11:40 AM,1,0.8,1,N,142,230,1,5.5,0,0.5,1,0,0.3,7.3
2,8/1/2017 18:09,8/1/2017 18:14,1,0.96,1,N,162,162,2,5.5,1,0.5,0,0,0.3,7.3
1,10/10/2017 14:40,10/10/2017 14:54,4,1.9,1,N,144,68,2,10.5,0,0.5,0,0,0.3,11.3
2,8/5/2017 22:28,8/5/2017 22:34,4,0.97,1,N,43,43,2,6.5,0.5,0.5,0,0,0.3,7.8
2,08/13/2017 3:50:10 AM,08/13/2017 3:53:43 AM,2,0.95,1,N,68,246,1,5,0.5,0.5,1,0,0.3,7.3
2,04/25/2017 10:20:43 PM,04/25/2017 10:25:28 PM,4,1.02,1,N,166,24,1,6,0.5,0.5,1.46,0,0.3,8.76
2,5/1/2017 9:42,5/1/2017 9:47,1,0.78,1,N,13,231,1,5,0,0.5,1,0,0.3,6.8
2,6/3/2017 18:55,6/3/2017 19:03,6,1.16,1,N,234,230,1,7,0,0.5,1.95,0,0.3,9.75
1,04/16/2017 2:43:35 AM,04/16/2017 3:04:48 AM,3,4.3,1,N,249,255,1,17.5,0.5,0.5,2.22,0,0.3,21.02
1,02/25/2017 1:04:27 PM,02/25/2017 1:15:41 PM,1,1.9,1,N,107,161,1,9.5,0,0.5,2.55,0,0.3,12.85
2,03/17/2017 10:00:41 PM,03/17/2017 10:22:57 PM,2,11.2,1,N,138,180,1,31.5,0.5,0.5,6.56,0,0.3,39.36
1,1/10/2017 21:06,1/10/2017 21:13,1,2,1,N,246,50,2,8,0.5,0.5,0,0,0.3,9.3
2,11/16/2017 9:31:00 AM,11/16/2017 9:43:17 AM,2,1.02,1,N,48,161,1,8.5,0,0.5,1.86,0,0.3,11.16
2,10/28/2017 4:16:54 AM,10/28/2017 4:33:06 AM,3,5.11,1,N,79,74,1,16.5,0.5,0.5,5.34,0,0.3,23.14
2,10/13/2017 3:48:39 PM,10/13/2017 3:56:17 PM,1,0.96,1,N,249,234,2,6.5,0,0.5,0,0,0.3,7.3
2,09/20/2017 11:46:44 PM,09/20/2017 11:54:08 PM,1,1.9,1,N,249,164,1,8,0.5,0.5,1.86,0,0.3,11.16
1,07/29/2017 1:27:34 PM,07/29/2017 1:36:28 PM,1,1.6,1,N,249,186,1,8,0,0.5,1,0,0.3,9.8
1,9/6/2017 11:37,9/6/2017 11:40,1,0.4,1,N,140,140,2,4.5,0,0.5,0,0,0.3,5.3
1,09/28/2017 7:17:44 AM,09/28/2017 7:21:35 AM,1,0.9,1,N,237,162,1,5,0,0.5,1,0,0.3,6.8
2,08/18/2017 1:17:32 AM,08/18/2017 1:34:48 AM,1,4.96,1,N,114,257,1,17,0.5,0.5,3.66,0,0.3,21.96
1,02/28/2017 6:02:05 PM,02/28/2017 6:13:30 PM,1,4.9,1,N,87,170,1,16,1,0.5,5.3,0,0.3,23.1
1,3/10/2017 18:31,3/10/2017 18:58,1,9.6,1,N,234,244,2,30.5,1,0.5,0,0,0.3,32.3
1,5/6/2017 14:54,5/6/2017 15:19,1,2.9,1,N,79,255,2,17.5,0,0.5,0,0,0.3,18.3
2,07/15/2017 12:28:27 AM,07/15/2017 12:37:09 AM,2,1.62,1,N,125,87,1,8,0.5,0.5,1,0,0.3,10.3
1,10/17/2017 2:29:39 PM,10/17/2017 3:00:14 PM,1,13.8,1,N,138,51,1,39,0,0.5,9.1,5.76,0.3,54.66
1,2/11/2017 19:09,2/11/2017 19:32,1,1.7,1,N,249,107,1,14.5,0,0.5,1,0,0.3,16.3
2,06/23/2017 7:53:53 PM,06/23/2017 8:00:57 PM,2,0.88,1,N,170,234,1,6.5,1,0.5,0.5,0,0.3,8.8
2,03/26/2017 8:06:55 PM,03/26/2017 8:14:43 PM,1,1.46,1,N,186,233,1,7,0.5,0.5,1.24,0,0.3,9.54
2,07/27/2017 10:10:04 AM,07/27/2017 10:23:13 AM,1,1.66,1,N,163,100,1,10,0,0.5,1.2,0,0.3,12
2,12/11/2017 20:04,12/11/2017 20:16,1,1.63,1,N,161,234,1,9.5,0.5,0.5,2.16,0,0.3,12.96
1,11/18/2017 1:04:54 PM,11/18/2017 1:39:53 PM,1,10,1,N,230,138,1,34.5,0,0.5,7.05,0,0.3,42.35
2,03/18/2017 11:41:50 PM,03/18/2017 11:49:21 PM,1,1.42,1,N,113,68,2,7,0.5,0.5,0,0,0.3,8.3
2,2/7/2017 8:56,2/7/2017 9:07,1,0.72,1,N,211,231,1,8,0,0.5,0,0,0.3,8.8
2,03/31/2017 8:18:22 PM,03/31/2017 8:50:17 PM,3,9.67,1,N,138,232,1,31,0.5,0.5,8.08,0,0.3,40.38
1,05/24/2017 8:46:11 PM,05/24/2017 9:02:29 PM,1,2.3,1,N,161,246,1,12.5,0.5,0.5,2.75,0,0.3,16.55
1,02/15/2017 8:16:09 PM,02/15/2017 8:39:44 PM,1,4.7,1,N,256,181,1,18.5,0.5,0.5,3,0,0.3,22.8
1,09/29/2017 11:38:58 AM,09/29/2017 12:10:34 PM,1,3.5,1,N,163,211,2,19.5,0,0.5,0,0,0.3,20.3
1,08/16/2017 9:30:43 AM,08/16/2017 9:46:07 AM,1,2.7,1,N,236,164,2,12.5,0,0.5,0,0,0.3,13.3
2,06/13/2017 7:17:33 PM,06/13/2017 7:27:33 PM,2,1.07,1,N,113,125,2,8,1,0.5,0,0,0.3,9.8
1,8/5/2017 15:42,8/5/2017 16:00,2,2.3,1,N,50,170,2,13,0,0.5,0,0,0.3,13.8
2,05/13/2017 8:55:32 PM,05/13/2017 9:20:31 PM,1,6.93,1,N,166,158,2,24,0.5,0.5,0,0,0.3,25.3
2,4/10/2017 22:17,4/10/2017 22:33,6,2.95,1,N,161,236,2,13.5,0.5,0.5,0,0,0.3,14.8
1,6/3/2017 14:24,6/3/2017 15:31,1,18,2,N,132,163,1,52,0,0.5,0,0,0.3,52.8
2,11/17/2017 12:01:00 PM,11/17/2017 12:24:22 PM,6,6.25,1,N,231,107,1,22.5,0,0.5,4.66,0,0.3,27.96
1,09/28/2017 9:17:50 PM,09/28/2017 9:30:03 PM,1,1.8,1,N,233,163,2,9.5,0.5,0.5,0,0,0.3,10.8
2,4/1/2017 2:56,4/1/2017 3:00,6,0.63,1,N,255,255,1,4.5,0.5,0.5,1.16,0,0.3,6.96
1,10/21/2017 7:27:11 PM,10/21/2017 7:34:31 PM,2,1.3,1,N,75,74,1,7,0,0.5,0,0,0.3,7.8
2,12/29/2017 5:22:05 PM,12/29/2017 5:32:05 PM,6,3.22,1,N,138,223,1,11.5,1,0.5,3.32,0,0.3,16.62
2,09/27/2017 9:10:06 AM,09/27/2017 9:16:56 AM,2,1.09,1,N,74,41,1,6.5,0,0.5,1,0,0.3,8.3
2,7/9/2017 2:27,7/9/2017 2:35,1,0.79,1,N,100,164,2,7,0.5,0.5,0,0,0.3,8.3
1,10/15/2017 1:04:26 AM,10/15/2017 1:09:50 AM,1,1.1,1,N,158,125,1,5.5,0.5,0.5,1.35,0,0.3,8.15
2,06/23/2017 5:55:36 PM,06/23/2017 6:29:34 PM,1,2.73,1,N,237,246,1,20.5,1,0.5,4.46,0,0.3,26.76
1,6/9/2017 23:53,6/10/2017 0:02,1,1.9,1,N,236,74,2,9,0.5,0.5,0,0,0.3,10.3
2,3/4/2017 16:40,3/4/2017 16:56,5,2.85,1,N,164,236,1,12.5,0,0.5,1,0,0.3,14.3
2,9/8/2017 21:45,9/8/2017 22:02,1,1.8,1,N,230,137,2,11.5,0.5,0.5,0,0,0.3,12.8
2,4/7/2017 13:53,4/7/2017 13:59,2,0.83,1,N,230,163,1,6,0,0.5,0.7,0,0.3,7.5
1,12/22/2017 11:49:37 AM,12/22/2017 12:21:07 PM,1,4.2,1,N,262,186,1,22,0,0.5,4.56,0,0.3,27.36
1,12/18/2017 7:21:19 PM,12/18/2017 7:37:07 PM,1,1.6,1,N,186,233,2,11,1,0.5,0,0,0.3,12.8
1,12/6/2017 22:49,12/6/2017 22:53,1,0.5,1,N,161,230,1,4.5,0.5,0.5,2,0,0.3,7.8
2,05/19/2017 8:05:49 AM,05/19/2017 8:20:09 AM,1,1.71,1,N,229,263,1,10.5,0,0.5,2.26,0,0.3,13.56
1,06/22/2017 8:05:33 AM,06/22/2017 8:05:40 AM,1,0,3,N,231,231,2,20,0,0,0,0,0.3,20.3
2,06/17/2017 12:21:33 AM,06/17/2017 12:26:29 AM,1,1.06,1,N,68,113,2,5.5,0.5,0.5,0,0,0.3,6.8
1,03/18/2017 11:23:48 PM,03/18/2017 11:43:44 PM,2,4.1,1,N,48,232,1,17.5,0.5,0.5,3.75,0,0.3,22.55
2,12/12/2017 16:50,12/12/2017 16:56,1,1.08,1,N,142,238,1,6,1,0.5,1.17,0,0.3,8.97
1,11/24/2017 3:17:47 PM,11/24/2017 3:33:57 PM,1,2.6,1,N,148,170,2,13,0,0.5,0,0,0.3,13.8
2,12/29/2017 4:04:10 PM,12/29/2017 4:10:06 PM,1,0.91,1,N,43,43,2,6,1,0.5,0,0,0.3,7.8
2,07/18/2017 7:11:53 PM,07/18/2017 7:23:35 PM,1,0.95,1,N,68,161,1,8.5,1,0.5,2,0,0.3,12.3
2,1/8/2017 2:59,1/8/2017 3:04,1,1.71,1,N,263,74,1,6.5,0.5,0.5,1,0,0.3,8.8
2,7/9/2017 3:01,7/9/2017 3:11,1,2.62,1,N,211,68,2,10,0.5,0.5,0,0,0.3,11.3
1,08/28/2017 11:51:26 AM,08/28/2017 12:20:34 PM,1,9,1,N,132,265,2,28,0,0.5,0,0,0.3,28.8
2,07/17/2017 2:20:31 PM,07/17/2017 2:24:40 PM,1,0.67,1,N,236,236,1,4.5,0,0.5,1.06,0,0.3,6.36
1,08/16/2017 9:37:16 PM,08/16/2017 9:42:40 PM,2,1.1,1,N,50,239,1,6,0.5,0.5,1.45,0,0.3,8.75
2,12/13/2017 2:05:28 PM,12/13/2017 2:20:29 PM,2,2.14,1,N,236,142,2,11.5,0,0.5,0,0,0.3,12.3
1,10/18/2017 7:42:38 AM,10/18/2017 7:49:21 AM,1,1.4,1,N,144,107,1,6.5,0,0.5,1.45,0,0.3,8.75
1,12/26/2017 11:33:55 PM,12/26/2017 11:38:49 PM,1,1,1,N,148,113,2,5.5,0.5,0.5,0,0,0.3,6.8
2,03/15/2017 9:17:04 PM,03/15/2017 9:23:59 PM,1,1.84,1,N,43,236,2,7.5,0.5,0.5,0,0,0.3,8.8
2,12/12/2017 12:32,12/12/2017 12:35,1,0.55,1,N,237,237,1,4,0,0.5,1.2,0,0.3,6
1,4/6/2017 2:45,4/6/2017 2:47,1,0.3,1,N,170,170,2,3.5,0.5,0.5,0,0,0.3,4.8
2,04/14/2017 12:49:44 PM,04/14/2017 12:58:24 PM,1,1.39,1,N,262,140,1,8,0,0.5,2.2,0,0.3,11
1,3/3/2017 9:18,3/3/2017 9:34,1,1.5,1,N,50,161,3,11,0,0.5,0,0,0.3,11.8
1,2/3/2017 6:24,2/3/2017 6:30,1,1.1,1,N,186,186,3,6,0,0.5,0,0,0.3,6.8
1,03/15/2017 3:42:07 PM,03/15/2017 3:46:27 PM,1,0.5,1,N,236,263,1,4.5,0,0.5,1.05,0,0.3,6.35
2,05/19/2017 2:10:22 PM,05/19/2017 2:28:56 PM,1,1.57,1,N,234,170,1,12.5,0,0.5,2.66,0,0.3,15.96
2,09/15/2017 10:13:28 PM,09/15/2017 10:15:57 PM,2,1.03,1,N,239,142,1,5,0.5,0.5,1.26,0,0.3,7.56
2,04/17/2017 12:03:15 PM,04/17/2017 12:40:01 PM,5,11.51,1,N,161,138,2,39.5,0,0.5,0,5.76,0.3,46.06
2,9/1/2017 23:10,9/1/2017 23:14,2,0.65,1,N,144,211,2,5,0.5,0.5,0,0,0.3,6.3
1,11/29/2017 11:13:29 AM,11/29/2017 11:47:12 AM,1,2.8,1,N,238,162,1,20.5,0,0.5,3.2,0,0.3,24.5
2,01/22/2017 12:35:47 AM,01/22/2017 1:05:47 AM,2,6.14,1,N,234,17,1,24.5,0.5,0.5,0,0,0.3,25.8
1,12/11/2017 10:21,12/11/2017 11:14,1,15.6,1,N,138,88,1,51.5,0,0.5,11.6,5.76,0.3,69.66
1,10/24/2017 3:21:41 PM,10/24/2017 3:39:40 PM,1,1.5,1,N,164,249,1,12.5,0,0.5,3.95,0,0.3,17.25
1,12/4/2017 23:16,12/4/2017 23:37,1,7,1,N,68,42,1,23,0.5,0.5,3,0,0.3,27.3
1,04/21/2017 11:15:54 PM,04/21/2017 11:27:41 PM,1,2.6,1,N,263,142,1,11,0.5,0.5,3,0,0.3,15.3
1,04/29/2017 1:29:04 PM,04/29/2017 1:48:15 PM,1,3.1,1,N,236,107,1,15,0,0.5,1,0,0.3,16.8
2,11/11/2017 20:16,11/11/2017 20:17,1,0.23,2,N,132,132,2,52,0,0.5,0,0,0.3,52.8
1,4/12/2017 20:13,4/12/2017 20:30,1,2.1,1,N,234,237,1,12,0.5,0.5,2.65,0,0.3,15.95
2,08/23/2017 3:26:21 PM,08/23/2017 3:42:56 PM,2,1.97,1,N,230,234,2,12,0,0.5,0,0,0.3,12.8
2,6/7/2017 7:55,6/7/2017 8:10,1,4.67,1,N,87,233,1,17,0,0.5,3.56,0,0.3,21.36
2,03/22/2017 10:55:41 PM,03/22/2017 11:18:02 PM,1,4.31,1,N,79,263,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,6/8/2017 19:27,6/8/2017 19:34,1,0.84,1,N,158,114,2,6.5,1,0.5,0,0,0.3,8.3
2,10/5/2017 0:02,10/5/2017 0:13,2,2.34,1,N,234,148,1,10.5,0.5,0.5,2.36,0,0.3,14.16
2,06/19/2017 1:03:56 AM,06/19/2017 1:07:06 AM,2,1.04,1,N,79,137,2,5,0.5,0.5,0,0,0.3,6.3
2,04/15/2017 12:08:51 PM,04/15/2017 12:27:40 PM,6,2.84,1,N,239,90,1,14,0,0.5,2.96,0,0.3,17.76
1,05/31/2017 8:58:40 PM,05/31/2017 9:02:51 PM,2,0.3,1,N,237,237,2,4.5,0.5,0.5,0,0,0.3,5.8
1,07/15/2017 10:34:32 PM,07/15/2017 11:02:01 PM,1,3.9,1,N,230,158,1,19,0.5,0.5,0,0,0.3,20.3
2,2/12/2017 15:37,2/12/2017 16:03,1,5.27,1,N,234,151,2,22,0,0.5,0,0,0.3,22.8
1,04/20/2017 7:13:18 AM,04/20/2017 7:29:07 AM,1,3.3,1,N,100,236,1,13.5,0,0.5,2.85,0,0.3,17.15
1,06/22/2017 2:22:05 PM,06/22/2017 4:07:28 PM,1,16.9,1,N,230,219,2,71.5,0,0.5,0,0,0.3,72.3
1,08/16/2017 6:31:15 PM,08/16/2017 6:37:37 PM,1,1.4,1,N,186,50,1,6.5,1,0.5,1.65,0,0.3,9.95
2,06/13/2017 8:05:03 PM,06/13/2017 8:42:53 PM,1,18.05,3,N,163,1,2,69.5,0.5,0,0,10.5,0.3,80.8
2,06/13/2017 7:04:30 PM,06/13/2017 7:09:05 PM,3,0.47,1,N,161,161,1,5,1,0.5,1.36,0,0.3,8.16
2,7/8/2017 14:42,7/8/2017 15:00,3,2.3,1,N,142,186,1,13,0,0.5,2.76,0,0.3,16.56
2,12/27/2017 5:40:19 PM,12/27/2017 6:01:03 PM,1,8.32,1,N,138,116,1,25.5,1,0.5,5,5.76,0.3,38.06
2,2/3/2017 20:40,2/3/2017 20:44,2,0.95,1,N,161,237,1,5.5,0.5,0.5,1.02,0,0.3,7.82
2,01/20/2017 7:57:42 PM,01/20/2017 8:05:12 PM,1,0.66,1,N,100,186,1,6.5,0.5,0.5,1,0,0.3,8.8
1,6/7/2017 22:52,6/7/2017 23:07,1,3.8,1,N,186,13,1,14.5,0.5,0.5,3.15,0,0.3,18.95
1,5/1/2017 22:09,5/1/2017 22:22,1,2.4,1,N,239,262,1,11,0.5,0.5,3.05,0,0.3,15.35
2,05/15/2017 8:22:26 AM,05/15/2017 8:57:04 AM,2,4.24,1,N,43,186,1,22.5,0,0.5,4.66,0,0.3,27.96
2,11/7/2017 7:38,11/7/2017 7:50,1,1.77,1,N,239,24,2,9.5,0,0.5,0,0,0.3,10.3
1,10/31/2017 10:24:38 PM,10/31/2017 10:46:52 PM,1,2.4,1,N,79,186,1,15,0.5,0.5,3.25,0,0.3,19.55
1,12/4/2017 17:39,12/4/2017 17:56,1,2.5,1,N,114,246,2,12.5,1,0.5,0,0,0.3,14.3
1,08/21/2017 12:40:25 PM,08/21/2017 1:12:31 PM,3,15.2,1,N,264,264,1,42.5,0,0.5,5,0,0.3,48.3
1,05/29/2017 9:48:43 PM,05/29/2017 9:57:47 PM,2,2.5,1,N,234,231,1,9.5,0.5,0.5,1.5,0,0.3,12.3
2,9/7/2017 8:10,9/7/2017 8:15,1,0.99,1,N,79,249,1,6,0,0.5,3,0,0.3,9.8
1,10/5/2017 18:49,10/5/2017 19:01,2,2.2,1,N,50,239,1,10.5,1,0.5,1.6,0,0.3,13.9
1,09/15/2017 7:17:58 PM,09/15/2017 7:54:54 PM,2,3.3,1,N,229,68,1,22,1,0.5,4.75,0,0.3,28.55
2,04/15/2017 1:56:10 PM,04/15/2017 2:03:10 PM,1,1.13,1,N,239,142,2,7,0,0.5,0,0,0.3,7.8
2,3/5/2017 19:53,3/5/2017 19:55,1,0.43,1,N,249,158,1,4,0,0.5,0.96,0,0.3,5.76
2,09/26/2017 11:56:19 AM,09/26/2017 12:01:58 PM,1,1.72,1,N,28,95,2,7.5,0,0.5,0,0,0.3,8.3
1,01/25/2017 6:33:16 PM,01/25/2017 6:55:51 PM,1,3.2,1,N,162,239,1,16,1,0.5,2,0,0.3,19.8
2,08/13/2017 10:01:30 AM,08/13/2017 10:22:20 AM,6,10.01,1,N,237,138,1,29,0,0.5,8.89,5.76,0.3,44.45
1,4/11/2017 16:13,4/11/2017 16:18,1,0.8,1,N,151,238,1,6,1,0.5,2.3,0,0.3,10.1
2,01/24/2017 6:03:38 PM,01/24/2017 6:09:15 PM,1,1.35,1,N,231,249,1,6,1,0.5,1,0,0.3,8.8
