drives,totalsessions,ndaysafteronboarding,totalnavigationsfav1,totalnavigationsfav2,activitydays,kmperdrivingday,label
39,109.4921618,1507,0,0,11,475.931864,1
25,26.31739936,2036,0,0,26,301.5392179,0
111,221.4540961,872,97,77,18,210.5621956,0
198,276.9777577,2118,185,0,22,64.96814189,0
55,262.5392446,3384,146,0,29,129.7685247,0
186,239.0754338,2012,47,0,21,145.1551199,1
21,153.8244071,462,65,31,10,836.3377297,0
55,89.89817396,558,0,44,13,346.4880871,0
181,249.415761,2585,420,94,26,165.6112399,0
80,138.8966777,1502,188,9,21,180.9852676,0
17,108.3085782,489,84,0,15,546.9806461,0
36,77.74150106,520,5,29,27,242.3110138,0
58,137.1512793,3264,45,0,21,72.55259878,0
27,199.1817354,2891,171,0,26,155.0416508,0
10,34.86172503,1179,0,99,31,35.29539831,0
27,100.6259772,311,198,39,11,493.9367292,0
17,172.2561926,901,376,45,24,77.72726209,0
61,158.7614474,1990,48,55,10,316.9686605,0
45,298.4321171,2962,0,13,7,990.5535106,0
22,186.5927505,2125,411,23,22,94.87070988,0
27,92.25161465,2761,174,0,16,277.3145144,0
61,114.7379542,1065,19,0,22,340.9184631,0
142,252.6878957,1823,0,28,4,1117.183676,1
36,356.9046735,1064,7,33,17,438.0663252,0
2,68.43454952,3150,0,60,1,0.0,1
42,116.2018066,2747,231,0,27,261.8220708,0
44,92.37585542,672,82,0,8,898.1497033,0
2,113.1919854,1399,238,94,24,96.18839767,0
10,71.44822472,2395,39,91,28,199.454488,0
96,263.9841144,230,150,7,6,158.4929659,1
159,248.5608538,2959,127,0,29,264.2648258,0
162,420.149277,1787,331,17,5,556.4727324,0
13,27.58100881,2523,245,21,3,0.0,1
149,221.8495146,1848,266,51,5,324.9505996,1
5,157.7901742,596,225,0,5,0.0,0
116,298.7370296,1158,115,33,22,49.53893932,1
54,108.3482441,3491,57,0,13,70.67347629,0
168,460.67836,858,58,0,28,316.1627262,0
19,25.61451345,2359,78,43,9,113.0735042,0
57,229.5738286,3236,0,0,17,206.0333313,0
60,268.3285197,164,12,97,28,69.68731096,1
85,85.52710383,1910,72,86,28,350.3421188,0
20,80.20881981,76,133,60,25,222.3812241,0
66,218.4561729,187,0,0,3,1161.574068,0
5,26.87356624,1331,36,15,11,752.8477611,1
17,39.64321447,3026,258,53,15,146.3473421,0
81,140.0939743,58,151,79,30,208.8304373,0
11,65.31764666,2227,116,25,4,1186.718511,1
14,192.4485012,1013,66,28,2,0.0,1
175,351.947218,422,119,17,5,418.019357,0
23,66.31426558,3154,167,0,17,88.84238535,0
51,103.6737581,2148,78,80,8,992.8044448,0
16,406.0111908,2388,417,0,28,164.4624712,0
29,199.4914446,1406,102,0,19,664.9593225,0
31,47.36553559,2742,0,0,24,71.16257696,0
9,12.7841033,2027,88,0,23,58.949764,0
92,187.3888153,1695,116,15,23,223.8581574,0
89,113.8593459,2212,202,1,11,570.7944046,1
51,229.5725919,107,0,0,19,99.84088837,0
119,162.9621574,1951,109,76,17,338.1705879,0
12,15.7444257,346,0,0,2,625.1375865,1
31,146.0450616,1164,298,78,1,0.0,0
8,338.6745844,327,190,0,14,198.3909549,0
97,203.6034511,405,16,0,0,0.0,0
22,113.5729223,1331,102,0,10,390.86203,0
70,253.1402342,2461,230,0,12,304.5654148,0
41,217.5766162,3140,0,58,21,288.9657419,0
27,182.3413035,1206,35,0,31,101.1996432,0
53,68.3612444,936,359,0,23,187.8313572,0
0,0.220210944,347,130,0,20,168.0567264,0
10,26.64670682,2717,20,3,28,146.1054849,0
152,216.3482262,587,220,71,13,244.6251142,0
23,75.15416717,1733,1,0,28,227.8068593,0
68,127.6158451,2153,254,0,28,400.4196748,0
57,161.9736632,256,265,0,4,906.858221,0
11,161.8940289,1593,254,58,16,349.7437611,0
159,206.4091506,1075,111,9,20,253.3086011,0
58,164.5906928,1191,227,1,13,242.2585691,0
114,164.2639383,2197,107,46,28,290.9061171,0
51,157.9609687,882,252,97,11,122.4192517,0
21,47.56665452,831,27,0,29,203.9409057,0
121,156.793433,3127,132,0,27,88.993761,0
5,366.6010412,1807,0,0,19,35.01479571,0
45,49.81401115,195,94,30,16,488.5367959,0
33,303.775344,2470,56,102,7,662.3051011,0
21,54.48894688,1202,181,0,15,444.7236561,0
52,304.8288523,2593,31,0,10,710.6172425,1
35,196.4082997,2942,0,21,3,0.0,1
23,348.2607682,3401,0,12,26,181.5770216,0
2,24.60849417,750,0,0,20,196.7224655,0
35,146.1155751,2568,240,19,0,0.0,1
105,353.4689061,789,0,43,15,86.435843,1
149,206.5263829,2289,113,0,13,365.7403923,0
103,178.7028005,1731,115,38,10,363.02131,0
47,230.7168752,1889,0,25,26,113.9123604,0
48,72.94172476,2840,292,27,28,149.1109053,0
41,149.9528673,1698,163,0,16,199.694733,0
120,400.1917217,2942,30,25,20,298.5891136,0
63,234.144818,1143,17,17,10,422.7762734,1
93,399.5536536,2010,4,28,23,56.57106178,0
89,396.2205693,94,16,0,14,115.3419601,0
91,179.7870992,3229,64,49,27,314.7004777,0
6,27.87768878,2859,0,0,21,687.8322898,0
50,77.92984157,156,11,3,17,309.6604828,0
34,63.36650437,565,171,104,20,353.3486211,1
182,447.7390405,289,16,0,16,292.1837625,0
25,65.68016286,674,0,26,29,104.8055982,0
3,97.95331187,3301,0,83,0,0.0,0
64,126.022904,533,43,4,27,237.8761388,0
11,109.4095583,159,0,80,26,192.3859753,0
17,36.63320047,3494,88,0,29,355.1025566,0
20,191.823221,1660,24,38,22,101.9900001,0
127,174.8405578,1526,0,0,28,173.6139862,0
10,276.5049701,861,165,23,24,158.6044128,0
17,19.29224475,3490,0,0,24,60.62479626,0
26,150.4070537,1368,39,0,2,0.0,1
19,163.5350442,1863,24,0,0,0.0,1
11,300.8767586,1197,29,21,15,567.6036501,0
23,205.5704842,2071,0,43,10,128.5321414,0
56,191.3575111,2088,50,0,19,199.1463293,0
50,67.02624304,2356,59,3,15,646.6055869,0
7,84.35408046,834,138,0,4,0.0,0
156,195.7272196,2007,0,57,27,242.8271194,0
11,36.06508531,2771,53,7,11,497.9547659,0
79,114.8227919,2341,0,0,5,1017.10003,0
14,49.12319927,1729,0,93,18,185.55312,0
37,150.5888653,3361,54,83,7,387.6139391,0
36,144.0875218,1324,0,17,25,133.6032929,0
153,168.6929434,2875,0,0,5,386.215731,1
90,158.5166236,2770,146,21,29,171.8259061,0
1,7.753611208,1169,121,82,4,677.2399785,0
17,45.68255487,2012,79,31,25,109.7512996,0
6,326.9143746,2411,72,39,30,15.26038764,0
120,172.0794952,196,94,11,1,0.0,1
8,38.90971605,1907,68,2,3,618.217783,1
41,99.84791162,564,127,0,22,188.2573126,0
59,195.9531122,350,25,23,26,246.179842,0
6,40.76832062,3356,0,20,11,185.7821512,0
15,282.8985631,1210,0,0,14,252.5104165,0
15,19.02396794,1052,126,4,25,118.6245185,0
15,19.07302795,443,59,0,15,257.9498903,0
60,306.0774646,1672,159,0,21,103.226783,0
30,43.43324697,1240,0,0,23,84.66297163,0
11,270.520655,482,0,32,20,286.0476676,0
59,268.9573231,2056,315,33,24,90.93697622,0
66,131.6377277,2434,87,0,29,154.5600707,0
13,81.82504951,153,77,0,11,662.4926184,0
3,262.4782073,283,0,1,4,571.5130595,0
26,168.0004408,2843,152,0,25,65.73718421,0
81,126.9700715,2604,37,103,23,167.5768643,0
24,206.879053,733,428,0,8,186.0563856,1
131,284.8095299,2912,195,0,15,139.7911235,1
38,76.31279592,1779,0,0,23,387.0862678,0
41,282.8529829,2915,209,80,5,889.310723,0
38,86.09697613,602,263,47,3,617.4916643,1
73,93.63506622,1520,27,0,23,113.5467007,0
95,313.636832,1388,56,9,9,508.5256963,1
13,59.09759233,3479,98,73,17,211.4650019,0
146,182.4538172,1667,414,0,2,0.0,0
73,286.6311599,2957,265,30,3,0.0,0
30,378.4441081,3288,308,0,14,89.69016438,0
20,27.82553366,1946,71,1,30,128.303236,0
17,151.6652716,702,135,6,20,444.4257263,0
6,183.3135993,749,161,21,14,294.028986,0
42,483.7707851,359,100,21,9,388.5569356,0
16,160.793362,1313,22,0,30,45.74936584,0
118,241.0076578,2395,74,0,26,96.48713854,0
65,333.5013108,2707,230,3,14,120.056794,0
7,38.5903149,2306,23,12,19,373.7250272,0
0,90.74746615,579,229,0,15,123.9278309,0
15,22.64255453,2672,38,37,27,203.3820614,1
59,491.876538,3268,0,0,8,758.4330535,1
137,182.8139239,1818,126,54,16,125.0239929,0
25,33.88649583,3214,204,31,11,833.7676843,0
39,100.3514388,329,5,84,31,124.6679302,0
60,125.7975759,433,0,5,2,0.0,1
59,183.9643962,486,9,0,28,99.91700739,0
9,49.18718796,1425,117,21,8,796.3266515,0
11,86.7494013,2723,142,0,17,428.8036412,0
128,175.7677294,3134,0,0,23,175.5845771,0
64,96.35565029,2389,94,2,7,182.0964549,0
50,155.8444768,1909,10,38,20,203.7639498,0
24,44.38227792,557,170,0,10,567.763065,1
33,49.16574449,2074,50,0,13,284.391301,0
27,125.2707167,1280,16,0,28,139.7197125,0
44,162.5941479,2654,236,0,2,537.3940595,0
40,217.1706497,116,135,62,6,764.0800258,1
14,118.6182655,2985,34,0,24,302.0759146,0
61,220.0630589,317,7,19,18,129.6025221,0
2,78.08648786,2897,0,10,3,0.0,0
106,152.7715264,3216,217,72,15,301.9899374,0
102,181.1726709,943,0,0,2,0.0,0
69,98.36265004,846,99,23,17,274.1906056,0
5,29.25950176,558,19,7,22,160.0480821,0
68,185.4553362,2002,0,0,5,0.0,0
74,168.3193724,3215,0,0,5,607.6020343,0
65,98.09570355,2392,44,38,27,201.0180139,0
35,112.2982559,1836,0,0,16,604.7557329,0
24,92.39278882,3012,0,0,31,194.3941972,0
17,47.12169151,976,168,13,28,159.9364008,0
66,116.6084545,3233,131,0,9,421.3568627,0
161,360.2506199,2431,58,7,19,138.13296,0
30,51.06040383,782,95,0,30,153.0413269,0
11,76.57138755,451,26,22,19,454.4254883,1
100,124.8174402,2718,17,0,7,256.9813045,0
145,368.4571855,2279,24,60,10,657.4696015,1
91,274.3182804,2800,58,0,17,377.5876104,0
138,166.8828293,3214,0,43,11,440.243899,0
1,120.5059981,3257,192,0,10,342.74605,0
71,210.0662197,2509,0,8,23,279.4833524,0
65,137.1247742,1648,93,3,0,0.0,1
62,267.2699843,1500,38,52,11,161.2306452,0
54,414.5124396,2187,48,0,24,253.4662501,0
10,132.1847714,1452,50,0,30,68.01330614,0
35,59.34060859,791,227,26,30,7.282839996,0
33,237.6278749,2899,0,36,10,200.4205378,0
60,160.7188704,1569,0,8,24,425.9892194,0
9,52.94946862,1735,0,8,23,128.8822092,0
9,96.18973337,3275,7,51,22,207.7824598,0
125,297.9371192,3161,0,97,17,327.0610884,0
108,141.3470742,2962,202,0,26,102.8723285,0
135,187.3042586,333,50,27,6,0.0,1
151,231.8888126,645,326,38,9,294.5801057,1
129,225.3431749,2487,186,0,12,423.5837258,0
148,186.7490336,676,40,0,24,330.2081536,1
96,142.9293685,2214,3,24,24,65.8996687,0
113,223.4071683,402,250,0,17,867.791082,0
87,183.5561774,3430,133,24,11,457.3841226,0
42,103.2583487,272,288,0,13,255.9722509,0
7,134.074151,2088,0,2,14,184.9157657,1
173,268.8761545,2572,160,17,22,154.2900999,0
96,124.9672438,952,34,0,2,0.0,1
37,354.5588679,3127,385,93,14,545.2469893,0
16,190.2859902,623,280,0,22,153.3798947,0
148,216.8416861,2056,35,17,30,70.29593425,0
10,337.8070809,1285,0,82,25,298.9583856,0
52,174.0009642,1995,377,24,13,456.954524,0
106,268.3454637,2507,0,38,29,167.0245386,0
38,100.3291937,1797,139,0,16,156.0554039,0
55,124.0700366,1077,182,37,22,109.0472671,0
33,163.5792057,3044,164,20,10,521.4180177,0
5,19.65081329,1096,0,84,21,142.6387533,0
71,168.8096883,2358,0,0,15,829.6092735,0
31,206.5578046,1852,214,0,20,268.1490289,0
1,10.21980196,2091,0,0,7,779.541659,0
11,33.97294946,2610,0,0,21,157.0649911,0
48,385.3031543,2287,0,0,7,862.9284738,0
50,143.7387157,2819,0,19,27,40.19290013,0
27,221.2043467,2213,128,0,8,194.8919948,0
60,195.526532,1808,28,14,12,643.3942045,0
57,207.8427383,2560,140,88,13,64.29324218,0
33,186.5337107,2743,84,0,8,341.0658746,1
24,144.2775698,1868,372,55,21,452.7049708,0
4,102.0626161,1867,271,13,14,71.58091259,0
90,175.7189391,2176,0,61,4,412.101258,0
2,23.90771459,3358,0,95,24,323.082059,0
12,100.0107813,2640,168,20,25,184.9904052,0
78,100.4571795,3084,118,34,27,81.91761771,0
34,101.3880483,2356,77,14,21,356.8883728,0
25,36.99674802,2759,0,0,29,144.80814,0
54,75.6297357,1484,23,0,23,166.0716699,0
10,146.8879402,629,0,0,21,219.0871927,0
14,17.24813256,595,15,23,5,0.0,0
39,82.19922726,1909,56,0,19,134.3011001,0
28,96.97989514,1586,0,36,29,102.5895712,0
140,451.1155082,1188,20,0,16,604.8130661,0
60,256.4832669,2294,61,0,9,685.5695114,0
6,45.31388108,2304,19,5,0,0.0,1
35,115.6412632,1935,196,0,5,917.613419,0
62,129.7600748,2512,173,0,13,552.1801274,0
10,43.75388439,2790,0,22,11,227.2661158,1
88,463.3237576,469,273,0,21,722.073815,0
166,213.4270033,1448,232,0,14,211.9025427,1
169,190.9494175,1225,37,0,8,278.423302,0
128,253.9179869,2050,0,50,28,164.4368537,0
43,98.62019966,786,23,0,7,905.4159463,0
172,241.3729846,2121,402,0,25,162.7877996,0
29,113.898073,1908,311,8,3,965.445123,1
119,264.1255852,902,45,36,16,284.8350654,0
96,264.7710056,3479,15,0,21,165.8667996,1
43,71.4137158,3113,26,4,23,133.9057539,0
44,105.8941178,523,0,90,23,241.6270622,0
34,95.83409124,2974,0,4,9,670.382081,0
19,173.8472622,2421,55,0,27,130.5533031,0
156,286.623824,431,171,40,5,922.2509213,0
7,32.93325702,1896,0,0,28,286.5382955,0
74,131.709174,871,175,55,30,103.1158309,0
52,96.13305227,1071,1,78,30,201.9513546,0
6,200.8546865,692,0,0,27,75.56185817,0
100,147.6483053,3264,90,2,5,307.9291892,1
161,247.4563505,1902,0,0,28,169.4228203,0
163,302.9535418,2171,29,0,7,889.6400115,1
45,109.999385,1449,321,10,26,175.9059967,0
83,299.1992933,274,9,54,10,504.3016712,1
108,481.0484482,2320,11,4,18,410.4015519,0
32,153.6820456,2261,0,70,8,494.50868,0
89,127.6082369,3252,0,107,7,815.7400887,1
6,120.7980228,380,117,61,25,65.2635415,1
16,237.7061548,1598,0,0,7,625.1740129,0
60,335.6945448,3212,34,0,26,182.7028065,0
89,218.2855527,891,324,32,25,183.4698385,0
29,79.55501337,2175,346,72,24,302.2238209,1
25,64.43331683,25,0,0,25,48.82371656,0
202,255.8525408,471,61,41,24,435.9734866,0
30,81.23168143,1039,0,0,22,479.9762937,1
4,64.27106133,3375,389,77,5,476.6116494,0
87,215.4809554,2234,120,0,25,226.6082562,0
18,442.2437366,2535,99,0,21,243.640592,0
95,198.4113218,1813,58,0,15,55.76290832,0
58,241.2906214,3265,57,64,17,271.819676,0
69,96.52955618,207,189,62,17,80.30836806,0
119,151.7290438,1166,0,18,8,329.3708875,0
73,227.7439976,3069,112,33,17,457.9458374,0
69,90.24798969,1628,32,0,11,546.5938694,0
80,182.3839112,1292,6,45,0,0.0,1
143,307.3726175,2981,94,0,11,182.7578013,0
19,52.4646532,1239,40,0,25,347.060031,0
20,46.69795005,2128,152,0,27,189.7819883,0
71,261.8245093,106,56,0,9,360.2020528,0
192,257.9570808,1575,0,47,9,564.6216,0
33,286.9739677,340,342,0,20,172.5329858,1
10,90.61261218,1490,0,0,26,141.4504867,0
2,27.48652981,1241,94,9,24,171.7351022,0
27,392.9917766,366,38,55,1,0.0,1
26,373.1853546,1898,205,9,7,467.1331211,0
108,159.92912,1442,27,0,20,58.48896315,1
150,271.2154297,2006,102,0,15,166.0681415,0
109,193.1897492,1672,105,42,27,298.0217881,0
27,55.3390658,1584,10,18,25,331.0408988,0
32,196.4047306,1752,115,18,6,427.4095365,0
15,27.3342983,1135,430,0,31,45.99178114,0
61,122.3234369,2276,259,93,9,244.8820583,0
63,147.4909529,3356,232,22,29,153.233625,0
43,214.8979867,381,0,0,1,0.0,0
7,318.6530199,1975,42,102,8,437.756215,1
15,351.6041495,1147,289,0,25,217.7759125,0
4,83.48374527,2465,131,0,5,334.7619432,0
50,151.0511321,232,22,0,14,709.7431184,0
31,83.08889924,1059,0,47,17,170.8884323,0
132,167.8798229,816,0,30,18,133.4758133,0
37,167.6937414,430,0,6,31,156.3423613,1
31,86.32278056,2990,113,0,13,366.5136492,0
14,347.1359835,1728,171,0,16,145.2078601,1
133,392.1098712,3133,46,29,16,201.8526726,0
9,53.27902429,2439,127,0,12,180.0020057,0
19,232.0237413,577,85,8,4,0.0,0
33,109.1307466,3415,46,63,28,149.3618024,0
3,118.640903,1361,0,10,20,126.558676,0
18,49.91001478,1597,4,0,9,399.9682652,0
74,190.3712688,2704,25,0,15,174.5553854,0
25,117.1147842,2610,7,0,17,765.9102669,0
120,378.8108418,1117,146,0,0,0.0,1
20,34.14657321,1060,44,2,12,539.6340989,0
30,50.83189338,3177,44,5,2,970.8550815,0
125,345.0648904,3458,0,9,8,1047.444684,0
50,165.6858039,2821,61,44,26,226.0836794,0
139,234.2520715,2866,49,14,29,250.0313667,0
54,80.11292811,1063,0,0,8,135.9583318,1
12,136.8060162,2683,34,2,20,141.9070286,0
16,41.73059916,2845,47,0,15,95.83522062,0
46,199.5720015,3077,25,28,8,818.8776615,0
7,40.10724219,1909,93,0,15,256.1476068,0
5,48.37423908,2506,195,0,13,203.2810941,1
110,209.6565502,1992,120,8,27,122.7984849,0
125,410.5136525,1493,28,71,12,793.2157349,0
40,84.59003698,3400,51,0,13,361.7577097,0
19,306.8989621,1918,0,73,5,982.0727382,1
34,110.8179124,37,176,0,10,620.0768816,0
30,72.13001549,1398,29,29,5,529.1180882,0
128,169.4634319,2928,42,74,2,972.5309385,0
21,52.78372974,2799,147,26,20,183.5883142,0
75,95.35836233,1992,70,32,22,361.8454561,0
43,145.4185336,659,0,3,23,194.6569196,0
58,123.9033897,3196,117,29,25,458.1181627,0
81,293.4386978,514,276,44,19,591.2371588,0
28,62.5900179,2552,56,0,14,805.0643778,1
56,147.2081684,1350,242,46,5,934.4768134,1
119,187.8134591,2607,89,32,4,379.4957645,0
53,149.7901745,1303,0,24,24,156.6997248,0
16,107.1669041,2122,199,49,29,207.0779457,0
21,246.5645934,289,154,0,3,1094.039814,0
1,45.99583272,369,144,0,12,487.0869776,0
24,361.8186741,2283,0,0,26,56.00881128,0
165,278.3480634,1966,124,0,26,51.39573948,0
66,89.48254467,1120,128,19,24,121.808445,0
116,249.5783994,2136,335,17,6,303.9174762,1
45,81.78800022,701,80,32,20,100.9905813,0
56,262.7826,3256,62,0,29,230.2691468,0
22,41.46421262,355,217,61,9,715.5717193,1
103,232.7157622,1345,85,6,30,28.66727739,0
0,238.2865436,3179,0,0,18,199.655269,0
45,63.40983918,1646,83,0,13,48.44311517,0
25,55.64282104,2736,126,0,6,572.6901718,0
92,124.400562,944,9,0,15,247.895379,1
5,196.2622674,1299,13,2,29,37.85537672,0
83,257.1420987,1925,129,0,12,160.7264446,0
9,92.95157454,1663,255,0,28,132.7872473,0
1,413.5995667,3177,368,45,7,415.4249203,0
29,104.5827571,1613,0,0,23,203.2084101,0
94,268.2669274,2851,136,0,31,161.3906106,0
56,111.7787081,2503,68,12,30,59.44072163,0
72,141.4970327,1292,167,72,29,73.83905179,0
77,386.1219116,1197,333,80,28,137.2972303,0
